numero_processo,ciclo,trecho,resolvido_para,regra
2025-33P6C,2026,cachoeiro,Cachoeiro de Itapemirim,prefixo único
2025-HFKGT,2026,cachoeiro,Cachoeiro de Itapemirim,prefixo único
2025-CNFWC,2026,sao torquatro,Vila Velha,"distrito IBGE São Torquato (320520025), grafia 'Torquatro'"
2025-CNFWC,2026,cachoeiro,Cachoeiro de Itapemirim,prefixo único
2025-8JPM7,2026,cachoeiro itapemirim,Cachoeiro de Itapemirim,grafia sem 'de'
2025-Z13BW,2026,conceicao barra,Conceição da Barra,grafia sem 'da'
2025-0RV3W,2025,itaunas,Conceição da Barra,localidade de Conceição da Barra segundo o objeto do projeto 2026-9T9CZ na lista SECULT [VERIFICAR]
2024-X6HWG,2024,itaunas,Conceição da Barra,localidade de Conceição da Barra segundo o objeto do projeto 2026-9T9CZ na lista SECULT [VERIFICAR]
2023-9RT9Q,2024,vila veha,Vila Velha,erro de digitação da fonte
2023-VSJGD,2023,cachoeiro,Cachoeiro de Itapemirim,prefixo único
2022-CD23H,2023,vila velhae,Vila Velha,'Vila Velhae Serra' (conjunção colada)
2022-MH6GF,2023,santa maria do jetiba,Santa Maria de Jetibá,grafia 'do'
2022-8LMZ7,2023,divino sao lourenco,Divino de São Lourenço,grafia sem 'de'
2022-XJ2XH,2022,cachoeiro,Cachoeiro de Itapemirim,prefixo único
2022-HR8RT,2022,santa marta,Ibitirama,distrito IBGE Santa Marta (320255310)
2022-0PP25,2022,venda nova,Venda Nova do Imigrante,prefixo único
2022-3FS25,2022,cachoeiro do itapemirim,Cachoeiro de Itapemirim,grafia 'do'
