indicador,valor
projetos,63.0
autorizado_total,27802174.47
captado_total,25000000.0
taxa_captado_sobre_autorizado,0.8992102408024346
captacao_total_n,47.0
captacao_parcial_n,16.0
captado_acima_autorizado_n,0.0
razao_min,0.04134381625088155
razao_mediana_parciais,0.5221420242058252
parciais_abaixo_35pct,2.0
captado_medio,396825.3968253968
captado_mediano,489200.0
captado_exatamente_500mil,22.0
proponentes_distintos,50.0
termos,95.0
cnpjs_estabelecimento,46.0
empresas_raiz_cnpj,26.0
nomes_de_patrocinador_distintos,32.0
soma_aportes,24999999.999999996
casamento_titulo_exato,48.0
casamento_ambiguo,6.0
casamento_sem_correspondencia,9.0
casamento_secundario_desempatados,3.0
proponentes_proponentes_captados_2025,50.0
proponentes_top10_share,0.3900495892
proponentes_top1_share,0.05896
proponentes_hhi,263.967198294282
