ciclo,numero_processo,projeto,municipios_es,locais_nao_resolvidos,algum_municipio_rmgv,sem_municipio_resolvido
2026,2026-NZ9D3,Paula Cassaro - 20 Anos - Ao Vivo,Colatina,,False,False
2026,2025-WGKTT,Nosso Ouro é a PolentaAspectos históricos e culturais dos imigrantes italianos em Venda Nova do Imigrante,Venda Nova do Imigrante,,False,False
2026,2026-NNC7R,"Mãos Criativas - Artesanato, Sustentabilidade e Cultura",Ibiraçu; Serra,,True,False
2026,2025-DZ8W2,Territórios Criativos e Ancestrais: Juventudes Guardiãs da Cultura,Aracruz,,False,False
2026,2025-CFX7G,Festejos Tradicionais Capixabas - Registros do Folclore e da Fé,Linhares,,False,False
2026,2025-7K1FV,Espírito Santo por Cima – Do noroeste capixaba até os Doce Pontões,Colatina,,False,False
2026,2025-FFQ31,Festival do Beijú – 8ª Edição,Mimoso do Sul,,False,False
2026,2025-00C1Z,Tornando Ideias Realidade — 2º ano,São Mateus,,False,False
2026,2025-NK2K5,Vovô E O Mar,Baixo Guandu; Muniz Freire,,False,False
2026,2025-SJQ9R,Despertando Olhares,,a defnir (local a definir),False,True
2026,2025-SB2J8,Cinematoka - Mostra de Cinema Indígena e Vivência Etnico-Cultural,Vila Velha; Aracruz; Vitória,,True,False
2026,2025-Z13BW,Borana Jazz,Conceição da Barra; Pedro Canário; São Mateus; Vitória,,True,False
2025,2025-R0CZP,Biblioteca Itinerante Vila Quilombo,Vargem Alta,,False,False
2025,2025-9TD2B,A Música E A Arte De Renato Sabaini,Colatina,,False,False
2025,2025-J4R03,Festival de Cinema de Vitória,Vitória,,True,False
2025,2025-1VZQW,13ª Semana Cultural Italiana de Jaguaré,Jaguaré,,False,False
2025,2025-Z2F1D,2ª Capacitação para fazedores de alegorias e adereços da Escola de Samba Unidos da Piedade,Vitória,,True,False
2025,2025-BK3F3,Moqueca Pop Festival - 4ª Edição,Cachoeiro de Itapemirim,,False,False
2025,2025-5D2MW,Remontagem do Armazém de Santa Marta/Ibitirama como Centro de Cultura e Memória do Caparaó – Armazém Multiverso -FASE II + Plano Anual de Atividades Culturais e Educativas,Divino de São Lourenço,,False,False
2025,2025-M0VHQ,LIVRO AO ALCANCE DE TODOS,Divino de São Lourenço; São José do Calçado; Bom Jesus do Norte; Dores do Rio Preto; Muniz Freire; Ibitirama; Ibatiba,,False,False
2025,2025-11MBF,Oficinas de Formação em Música Classica,Vitória,,True,False
2025,2025-4V24B,Turnê Repertório Grupo Taetral Caparaó,,,False,True
2025,2025-SB2J8,Cinematoka - Mostra de Cinema Indígena e Vivência Etnico-Cultural,,,False,True
2025,2024-TS5HB,Projeto nós que Transformamos: Marcenaria e Cultura,Ibiraçu,,False,False
2025,2025-6TW8N,Cappitella - Festa do Cappelletti e da Tagliatella 2025,Nova Venécia,,False,False
2024,2024-VM90J,Musicalização Agrícola,Afonso Cláudio,,False,False
2024,2024-WCJ53,"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura",Ibiraçu,,False,False
2024,2023-V29BR,Amor e Movimento,São Mateus,,False,False
2024,2023-PCDF2,"Projeto Raízes da Aldeia: Cultura, Artesanato e Resgate",Aracruz,,False,False
2024,2023-HJF7P,“Itália Mia 2024”,João Neiva,,False,False
2024,2023-0J1G1,A DANÇA: Universo em Expansão,Pinheiros,,False,False
2024,2023-D8NHK,'Carnaval Cultural de Mimoso do Sul – 2024”,Mimoso do Sul,,False,False
2024,2024-KN5MZ,7ª Festa Flor do Café,Mimoso do Sul,,False,False
2024,2024-SS2BT,Moqueca Pop Verão - Edição Iriri,Anchieta,,False,False
2024,2023-SMP5M,Mantendo Luz Del Fuego acesa,Cachoeiro de Itapemirim,,False,False
2024,2023-3RCKP,CAPPITELLA – Festa Do Cappelletti E Da Tagliatella 2023,Nova Venécia,,False,False
2024,2023-6V806,Agenda cultural - 28º Programa de Verão de Atílio Vivácqua/ES,Atílio Vivácqua,,False,False
2024,2023-5QBHT,Festival de Quadrilhas da Lagoa do Siri,Marataízes,,False,False
2024,2023-B9WNP,Encontro de Folias de Reis de Burarama,Cachoeiro de Itapemirim,,False,False
2024,2023-N1HRJ,Programa de fortalecimento de jongos e caxambus do sul capixaba,Cachoeiro de Itapemirim,,False,False
2024,2023-B236K,Consolidação e Restauração das Pinturas Parietais da Antiga Casa de Câmara e Cadeia de Itapemirim,Itapemirim,,False,False
2024,2023-SK4MC,FestReC Pot - Festival Regional da Cultura Popular e Tradicional,Aracruz,,False,False
