ciclo,enquadramento,registros,autorizado_n,autorizado_total,pct_registros,pct_autorizado,pct_normativo_art18,rotulo
2024,cota-continuados,4,3,1499896.0,0.032520325203252036,0.03210634956913092,0.1,II - planos plurianuais (10%)
2024,cota-demais,86,85,32359379.42,0.6991869918699187,0.6926757238492943,0.5,IV - demais projetos (50%)
2024,cota-fora-rmgv,17,16,5607077.38,0.13821138211382114,0.12002351257916999,0.1,III - fora da região metropolitana (10%)
2024,cota-pautados,16,16,7250138.49,0.13008130081300814,0.15519441400240486,0.3,I - eventos calendarizados >10 anos (30%)
2025,cota-continuados,4,4,1765063.9,0.05405405405405406,0.052711741133091225,0.1,II - planos plurianuais (10%)
2025,cota-demais,40,40,17735235.22,0.5405405405405406,0.5296437867496594,0.5,IV - demais projetos (50%)
2025,cota-fora-rmgv,13,13,5571036.39,0.17567567567567569,0.1663730293462526,0.1,III - fora da região metropolitana (10%)
2025,cota-pautados,17,17,8413877.88,0.22972972972972974,0.25127144277099683,0.3,I - eventos calendarizados >10 anos (30%)
2026,cota-continuados,6,6,2755490.0,0.06818181818181818,0.07266131298332001,0.1,II - planos plurianuais (10%)
2026,cota-demais,56,56,24517138.92,0.6363636363636364,0.6465084266397833,0.5,IV - demais projetos (50%)
2026,cota-fora-rmgv,12,12,3893600.02,0.13636363636363635,0.10267287839370894,0.1,III - fora da região metropolitana (10%)
2026,cota-pautados,14,14,6756152.13,0.1590909090909091,0.17815738198318778,0.3,I - eventos calendarizados >10 anos (30%)
