ciclo,numero_processo,campo_original,resto_nao_casado
2022,2022-JBZVN,Muqui Iúna; Ibitirama; Irupi; Divino São,divino sao
2022,2022-83B3M,Lourenço; Jaguaré; Vila Valério; Sooretama; São Mateus; Conceição da Barra; Venda Nova do Imigrante; Castelo; Conceição do Castelo; Santa,lourenco santa
2022,2022-220W3,Maria; Santa Teresa; Domingos Vargem Alta; Martins; Castelo; Cachoeiro Brejetuba. de Itapemirim; Caparaó; Marataízes,maria domingos martins caparao
2022,2022-HR8RT,Divino de São Lourenço; Santa Marta; Ibitirama,santa marta
2022,2022-9NT8C,Vargem Alta; Castelo; Cachoeiro de Itapemirim; Caparaó e,caparao
2022,2022-0PP25,Vitória; Muqui; Castelo; Venda Nova; Domingos,domingos
2022,2022-KSSWD,Martins; Alegre Cariacica,martins
2022,2022-Z91ZF,Vitória; Costa Rica,costa rica
2022,2022-PHX83,Domingos Martins; Venda Nova do Imigrante; Vargem,vargem
2022,2022-87D66,Alta Vitória,alta
2023,2023-BWFJ7,Vitória; Serra; Linhares; Patrimônio da Penha,patrimonio penha
2023,2023-VSJGD,Colatina; João Neiva; Pancas; Alegre; Cachoeiro; Guaçuí; região do caparaó,caparao
2023,2022-CR61F,Cariacica; Espanha,espanha
2023,2022-HH970,Vitória; Guarapari; Cariacica; Linhares; Marechal,marechal
2023,2023-MZ120,Floriano Santa Teresa,floriano
2023,2022-GHF1N,Mucurici; Ponto Belo; Montanha; Pinheiros; Santa Maria de Jetibá; Itaguaçu; Vila,santa maria vila
2023,2022-8S91R,Pavão; Muqui. Vitória; Vila Velha,pavao
2023,2022-MH6GF,Santa Teresa; Colatina; Santa Maria do Jetibá; João Neiva; Santa,santa maria santa
2023,2022-61S2R,Teresa Vitória; Santa Teresa,teresa
2024,2024-X6HWG,Itaúnas,itaunas
2025,2025-0RV3W,Itaúnas,itaunas
2025,2025-BLC51,Santa Teresa; Santa Maria de Jetibá; Santa Leopoldina,santa maria
2026,2025-58RFR,Montanha; Nova Venécia; Manguinhos; Cariacica; Viana; Guarapari,manguinhos
2026,2025-L9896,a definir,a definir
2026,2025-B7SJZ,a definir,a definir
2026,2025-T178P,Vila Velha Vila Velha; Flexal,flexal
2026,2025-CNFWC,Terra Vermelha; Sao Torquatro; São Pedro; Itararé; Novo Horizonte; Feu Rosa; Colatina; Linhares; São Mateus; Aracruz; Guarapari; Cachoeiro,terra vermelha sao torquatro sao pedro itarare novo horizonte feu rosa
2026,2025-BNHCX,a definir,a definir
2026,2025-SJQ9R,a defnir,a defnir
2026,2025-49GXP,a definir Santa Maria de,a definir santa maria
