ciclo,faixa_valor_ciclo,registros_resolvidos,executados,taxa_execucao
2022,até 400 mil,38,30,0.7894736842105263
2022,400-500 mil (exclusive),22,20,0.9090909090909091
2022,exatamente 500 mil,9,8,0.8888888888888888
2022,acima de 500 mil,0,0,
2023,até 400 mil,41,24,0.5853658536585366
2023,400-500 mil (exclusive),47,33,0.7021276595744681
2023,exatamente 500 mil,23,20,0.8695652173913043
2023,acima de 500 mil,1,1,1.0
2024,até 400 mil,45,12,0.26666666666666666
2024,400-500 mil (exclusive),35,24,0.6857142857142857
2024,exatamente 500 mil,27,21,0.7777777777777778
2024,acima de 500 mil,1,1,1.0
