n_projetos,proponentes,P_captou,poder,R2_hipotese,icc_hipotese,deff,EMD_dp
293,199,0.6758,0.8,0.0,0.0,1.0,0.35
293,199,0.6758,0.8,0.0,0.2,1.251,0.391
293,199,0.6758,0.8,0.3,0.0,1.0,0.293
293,199,0.6758,0.8,0.3,0.2,1.251,0.327
293,199,0.6758,0.8,0.5,0.0,1.0,0.247
293,199,0.6758,0.8,0.5,0.2,1.251,0.277
293,199,0.6758,0.9,0.0,0.0,1.0,0.405
293,199,0.6758,0.9,0.0,0.2,1.251,0.453
293,199,0.6758,0.9,0.3,0.0,1.0,0.338
293,199,0.6758,0.9,0.3,0.2,1.251,0.379
293,199,0.6758,0.9,0.5,0.0,1.0,0.286
293,199,0.6758,0.9,0.5,0.2,1.251,0.32
