J_municipios,P_tratados,m_pre,r_pos,phi_AR1_hipotese,MDE_em_dp_idiossincratico_SCR,MDE_ignorando_correlacao_serial
78,0.25,1,1,0.0,1.036,1.036
78,0.25,1,1,0.3,0.867,1.036
78,0.25,1,1,0.5,0.733,1.036
78,0.25,1,1,0.7,0.567,1.036
78,0.25,3,3,0.0,0.598,0.598
78,0.25,3,3,0.3,0.673,0.598
78,0.25,3,3,0.5,0.688,0.598
78,0.25,3,3,0.7,0.639,0.598
78,0.25,5,4,0.0,0.491,0.491
78,0.25,5,4,0.3,0.591,0.491
78,0.25,5,4,0.5,0.647,0.491
78,0.25,5,4,0.7,0.656,0.491
78,0.5,1,1,0.0,0.897,0.897
78,0.5,1,1,0.3,0.751,0.897
78,0.5,1,1,0.5,0.634,0.897
78,0.5,1,1,0.7,0.491,0.897
78,0.5,3,3,0.0,0.518,0.518
78,0.5,3,3,0.3,0.583,0.518
78,0.5,3,3,0.5,0.596,0.518
78,0.5,3,3,0.7,0.553,0.518
78,0.5,5,4,0.0,0.426,0.426
78,0.5,5,4,0.3,0.512,0.426
78,0.5,5,4,0.5,0.56,0.426
78,0.5,5,4,0.7,0.568,0.426
