fonte,caso,publicado,calculado,obs
WP26 7.1.1 p.21,"MDE continuo, n=1000, P=0.5, sd=2400, a=.05 bic, poder .8",425.7,425.0101,"t1+t2 = 2,80 (valores do texto)"
WP26 7.1.1 p.21,"idem, t de Student gl=998",425.7,425.6667,diferença de arredondamento
WP26 7.1.2 p.22,idem com R2=0.5,301.0,300.5275,
WP26 7.1.3 p.23,"binario, p0=0.03, T=0.5, n=1000, unicaudal",0.027,0.0269,
WP26 7.1.4 p.24,"binario com R2=0.6, n=991",0.017,0.0171,
WP26 7.1.5 p.25,taxas: pessoas-ano por grupo,2067.0,2069.3889,diferença de arredondamento de mu0
WP26 7.2.1 p.27,conglomerados J=240 m=20 icc=.037 sd=.47 a=.01 poder .9,0.0683,0.0683,
WP26 7.2.1 p.27,idem via funcao mde_conglomerados (z exatos),0.0683,0.0683,
WP26 7.2.2 p.28,idem com R2=0.4,0.053,0.0529,
Slide 28 x WP26 7.2.1,n_total pelo slide / 20 = J do WP26,240.0,239.9849,"equivalência: mesmo desenho, J ~ 240"
WP26 7.2.3 p.30,Hayes-Bennett proporcoes: conglomerados por grupo,4.0,3.8227,arredondar para cima
WP26 7.2.4 p.31,Hayes-Bennett taxas: conglomerados por grupo,33.0,32.5412,arredondar para cima
McKenzie 2012 tab.3,"post, m=1 r=1 rho=.25 (n por grupo)",1570.0,1569.7759,
McKenzie 2012 tab.3,"did, m=1 r=1 rho=.25 (n por grupo)",2355.0,2354.6639,
McKenzie 2012 tab.3,"ancova, m=1 r=1 rho=.25 (n por grupo)",1472.0,1471.665,
McKenzie 2012 tab.3,"ancova, m=1 r=2 rho=.5",785.0,784.888,
McKenzie 2012 tab.3,"ancova, m=2 r=1 rho=.5",1047.0,1046.5173,
McKenzie 2012 tab.3,"did, m=2 r=2 rho=.5",785.0,784.888,
BPW 2020 eq.2 x McKenzie eq.7,psi=0 e sigma2_omega = sigma2(1-rho): MDEs iguais,0.2707,0.2707,
