ciclo,linguagem,projetos,autorizado,pct_autorizado_no_ciclo
2022,audiovisual,8,3198823.69,0.1370080205326645
2022,formação e oficinas,2,568965.0,0.024369198166832213
2022,"hip-hop, rap e cultura urbana",2,606149.89,0.02596185492642526
2022,literatura e livro,1,499311.04,0.021385866759197993
2022,música erudita e coral,6,2284004.2199999997,0.09782561572515186
2022,música popular e festivais,14,4853051.12,0.20785982346374032
2022,não classificado,23,7675247.24,0.32873660237623054
2022,patrimônio e memória,3,1048146.03,0.04489288148277743
2022,"teatro, dança e circo",3,813561.28,0.03484544049841672
2022,tradição popular e festas,7,1800451.6500000001,0.07711469606856315
2023,audiovisual,6,2994375.86,0.06760344322301716
2023,formação e oficinas,6,2080327.19,0.04696714362186444
2023,"hip-hop, rap e cultura urbana",2,499485.0,0.011276776001743725
2023,literatura e livro,1,499855.55,0.011285141837249187
2023,música erudita e coral,5,2094067.21,0.04727734938940396
2023,música popular e festivais,23,9175621.87,0.2071562359323921
2023,não classificado,43,16560780.3,0.3738895259260844
2023,patrimônio e memória,6,2269375.13,0.05123524230945483
2023,"teatro, dança e circo",7,1790772.97,0.04042993413749629
2023,tradição popular e festas,14,6328583.72,0.142879207621294
2024,audiovisual,7,3163445.66,0.06771582309900825
2024,formação e oficinas,7,2584548.0,0.05532410351530918
2024,"hip-hop, rap e cultura urbana",1,420000.0,0.008990401213840817
2024,literatura e livro,2,140761.38,0.003013098289556925
2024,música erudita e coral,7,2090179.97,0.0447418012843661
2024,música popular e festivais,15,6280113.36,0.13443033041619507
2024,não classificado,47,17689514.12,0.37865673623024354
2024,patrimônio e memória,5,2246434.36,0.048086538564185044
2024,"teatro, dança e circo",7,2399461.21,0.05136218803559037
2024,tradição popular e festas,25,9702033.23,0.20767897935170462
2025,audiovisual,3,1499688.0,0.047351760035462855
2025,formação e oficinas,1,496800.0,0.015686165646199707
2025,"hip-hop, rap e cultura urbana",2,998300.0,0.031520731007651306
2025,literatura e livro,3,1139447.8599999999,0.03597739105710099
2025,música erudita e coral,6,2437530.5,0.0769635813016586
2025,música popular e festivais,17,7837214.31,0.24745539829192179
2025,não classificado,19,8328057.13,0.26295346950924825
2025,patrimônio e memória,2,996057.21,0.031449916242253476
2025,"teatro, dança e circo",1,499664.0,0.01577659474928086
2025,tradição popular e festas,16,7438460.79,0.2348649921592221
2026,audiovisual,5,2295984.86,0.060544322250280044
2026,formação e oficinas,3,1500000.0,0.039554478323267375
2026,literatura e livro,1,444191.92,0.011713186447340342
2026,música erudita e coral,7,3036572.85,0.08007336998156482
2026,música popular e festivais,13,5456742.57,0.14389240380047688
2026,não classificado,31,12162343.91,0.3207167790321453
2026,patrimônio e memória,5,2775978.74,0.07320159393145406
2026,"teatro, dança e circo",7,3223025.0,0.08499004833189922
2026,tradição popular e festas,16,7027541.22,0.18531381790157198
2022-2026,audiovisual,29,13152318.07,0.07149901130990087
2022-2026,formação e oficinas,19,7230640.19,0.039307415010123296
2022-2026,"hip-hop, rap e cultura urbana",7,2523934.89,0.013720687736193367
2022-2026,literatura e livro,8,2723567.75,0.014805937654800897
2022-2026,música erudita e coral,31,11942354.75,0.06492137376792458
2022-2026,música popular e festivais,82,33602743.23,0.18267220314004046
2022-2026,não classificado,163,62415942.7,0.3393073501776577
2022-2026,patrimônio e memória,21,9335991.47,0.050752586437614045
2022-2026,"teatro, dança e circo",25,8726484.46,0.047439166828271075
2022-2026,tradição popular e festas,78,32297070.61,0.17557426793747372
