cnpj_raiz,linguagem,patrocinador,projetos,valor,pct_da_carteira
00827783,não classificado,Kuruma Veiculos S.A,4,990000.0,0.3349940624501887
00827783,tradição popular e festas,Kuruma Veiculos S.A.,3,781690.0,0.264506574420897
00827783,música popular e festivais,Kurumá Veiculos S.A,2,500000.0,0.16918892042938824
00827783,música erudita e coral,Kurumá Veiculos S.A,1,297210.57,0.10056947095700625
00827783,literatura e livro,Kurumá Veiculos S.A,1,250000.0,0.08459446021469412
00827783,"teatro, dança e circo",Kurumá Veiculos S.A,1,136375.69,0.04614651152782583
02689900,tradição popular e festas,Distribuidora Pomar,1,50000.0,1.0
03380787,tradição popular e festas,L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS,1,80000.0,1.0
03845717,tradição popular e festas,Realmar Distribuidora Ltda,5,1720886.86,0.794541437866242
03845717,música popular e festivais,Realmar Distribuidora Ltda,1,250000.0,0.11542615850211121
03845717,não classificado,Realmar Distribuidora Ltda,1,195000.0,0.09003240363164675
04023387,música popular e festivais,MÁRMORES E GRANITOS DO BRASIL S.A,1,150000.0,1.0
04330073,não classificado,AMT Trading LTDA,1,130000.0,1.0
05069718,tradição popular e festas,Perfil Alumínio do Brasil S/A,2,319369.98,0.7615470711565954
05069718,música erudita e coral,PERFIL ALUMINIO DO BRASIL S/A,1,100000.0,0.23845292884340458
06248349,"teatro, dança e circo",Transportadora Associada de Gás - TAG,1,500000.0,0.5102040816326531
06248349,audiovisual,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,1,480000.0,0.4897959183673469
06955576,tradição popular e festas,ITAPOA SUPERMERCADO LTDA,1,500000.0,1.0
07526557,não classificado,AMBEV S.A. CDD VITÓRIA,1,500000.0,0.5
07526557,tradição popular e festas,AMBEV S.A. CDD VITÓRIA,1,500000.0,0.5
07548056,"teatro, dança e circo",Distribuidora Mascote LTDA,1,56524.73,1.0
08625038,não classificado,Kubit Exportação e Importação de Café Ltda,1,89192.8,1.0
09492311,"teatro, dança e circo",Mundo Distribuidora de Cosméticos LTDA,1,44308.24,1.0
11277336,não classificado,VM Comercio de Automoveis LTDA,2,400000.0,0.8385744234800838
11277336,formação e oficinas,VM Comercio de Automoveis LTDA,1,77000.0,0.16142557651991615
22280114,não classificado,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,1,20000.0,1.0
27340074,não classificado,Antônio Auto Peças S/A,1,239751.08,1.0
27555390,patrimônio e memória,Oriundi Supermercados LTDA,1,120000.0,0.5999610325309371
27555390,tradição popular e festas,Oriundi Supermercados LTDA,1,80012.99,0.4000389674690629
28152650,música popular e festivais,EDP Espírito Santo Distribuição de Energia S.A,6,2579560.0,0.23503369833781074
28152650,tradição popular e festas,EDP Espírito Santo Distribuição de Energia S.A,5,2180685.73,0.1986907193608168
28152650,formação e oficinas,EDP Espírito Santo Distribuição de Energia S.A,4,1941152.71,0.1768659385591976
28152650,música erudita e coral,EDP Espírito Santo Distribuição de Energia S.A,4,1561532.01,0.1422772268848855
28152650,não classificado,EDP Espírito Santo Distribuição de Energia S.A,3,1212805.79,0.11050343089100864
28152650,audiovisual,EDP Espírito Santo Distribuição de Energia S.A,2,999998.0,0.09111368926111975
28152650,"teatro, dança e circo",EDP Espírito Santo Distribuição de Energia S.A,1,499543.0,0.045515296705160954
31731169,audiovisual,TUBOVAL COMERCIAL LTDA,1,264403.77,1.0
31759699,tradição popular e festas,Comercial Devens LTDA,1,126123.0,0.742248944327239
31759699,patrimônio e memória,Comercial Devens LTDA,1,43797.08,0.25775105567276096
31790710,tradição popular e festas,Imetame Metalmecãnica LTDA,1,150000.0,1.0
31819139,tradição popular e festas,A.S. Materiais de Construção Ltda,1,50000.0,1.0
34307295,música popular e festivais,Companhia de Gás do Espírito Santo – ES GÁS,1,500000.0,0.5054589567327133
34307295,não classificado,Companhia de Gás do Espírito Santo – ES GÁS,1,489200.0,0.4945410432672867
39786983,música popular e festivais,VD Comercio de Veiculos LTDA,2,594000.0,0.22840677178858906
39786983,não classificado,VD Comercio de Veiculos LTDA,3,593549.0,0.22823335183223106
39786983,música erudita e coral,VD Comercio de Veiculos LTDA,1,440074.42,0.16921881754029577
39786983,formação e oficinas,VD Comercio de Veiculos LTDA,1,423000.0,0.16265330718278312
39786983,literatura e livro,VD Comercio de Veiculos LTDA,1,200000.0,0.07690463696585491
39786983,"teatro, dança e circo",VD Comercio de Veiculos LTDA,1,200000.0,0.07690463696585491
39786983,tradição popular e festas,VD Comercio de Veiculos LTDA,1,150000.0,0.05767847772439118
45901867,tradição popular e festas,EV Comércio de Veículos LTDA,1,57000.0,0.5334304114292613
45901867,literatura e livro,EV Comércio de Veículos LTDA,1,49855.55,0.4665695885707387
71189278,"teatro, dança e circo",Orletti Veículos e Peças LTDA,1,136397.0,1.0
