municipio,rmgv,coletivos,individuais
Afonso Cláudio,False,3,19
Alegre,False,8,42
Alfredo Chaves,False,1,14
Alto Rio Novo,False,0,5
Anchieta,False,13,38
Apiacá,False,1,12
Aracruz,False,16,97
Atílio Vivácqua,False,2,22
Baixo Guandu,False,1,52
Barra de São Francisco,False,0,14
Boa Esperança,False,1,3
Bom Jesus do Norte,False,1,12
Brejetuba,False,0,2
Cachoeiro de Itapemirim,False,35,161
Cariacica,True,29,274
Castelo,False,2,34
Colatina,False,10,103
Conceição da Barra,False,10,88
Conceição do Castelo,False,1,7
Divino de São Lourenço,False,5,21
Domingos Martins,False,2,39
Dores do Rio Preto,False,3,6
Ecoporanga,False,1,3
Fundão,True,5,34
Governador Lindenberg,False,0,2
Guarapari,True,6,152
Guaçuí,False,8,34
Ibatiba,False,0,9
Ibiraçu,False,6,42
Ibitirama,False,0,5
Iconha,False,3,13
Irupi,False,0,4
Itaguaçu,False,0,6
Itapemirim,False,3,65
Itarana,False,0,1
Iúna,False,0,19
Jaguaré,False,2,16
Jerônimo Monteiro,False,2,21
João Neiva,False,1,23
Laranja da Terra,False,1,1
Linhares,False,12,227
Mantenópolis,False,0,3
Marataízes,False,3,74
Marechal Floriano,False,2,12
Marilândia,False,0,7
Mimoso do Sul,False,2,28
Montanha,False,3,30
Mucurici,False,0,8
Muniz Freire,False,2,21
Muqui,False,8,71
Nova Venécia,False,6,33
Pancas,False,0,3
Pedro Canário,False,4,24
Pinheiros,False,0,8
Piúma,False,5,41
Ponto Belo,False,0,12
Presidente Kennedy,False,1,3
Rio Bananal,False,2,6
Rio Novo do Sul,False,1,24
Santa Leopoldina,False,1,15
Santa Maria de Jetibá,False,4,13
Santa Teresa,False,8,25
Serra,True,33,381
Sooretama,False,1,9
São Domingos do Norte,False,0,13
São Gabriel da Palha,False,3,61
São José do Calçado,False,1,9
São Mateus,False,30,217
São Roque do Canaã,False,0,1
Vargem Alta,False,4,25
Venda Nova do Imigrante,False,3,20
Viana,True,4,84
Vila Pavão,False,5,16
Vila Valério,False,2,10
Vila Velha,True,73,673
Vitória,True,127,762
Água Doce do Norte,False,0,2
Águia Branca,False,2,6
