cnpj,cnpj_raiz,patrocinador,aportado_licc_2025,consultado_no_salic,status_http,incentivador_rouanet,total_doado_rouanet_acumulado
00827783000181,00827783,Kuruma Veiculos S.A.,1230000.0,True,200,True,584342.0
00827783000505,00827783,Kurumá Veiculos S.A,791690.0,True,404,False,
00827783002044,00827783,Kurumá Veiculos S.A,933586.26,True,404,False,
02689900000113,02689900,Distribuidora Pomar,50000.0,True,404,False,
03380787000233,03380787,L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS,80000.0,True,404,False,
03845717000122,03845717,Realmar Distribuidora Ltda,992000.0,True,200,True,641808.0
03845717000203,03845717,Realmar Distribuidora Ltda,125000.0,True,404,False,
03845717000556,03845717,Realmar Distribuidora Ltda,125000.0,True,404,False,
03845717001285,03845717,Realmar Distribuidora Ltda,75000.0,True,404,False,
03845717001366,03845717,Realmar Distribuidora Ltda,125000.0,True,404,False,
03845717001528,03845717,Realmar Distribuidora Ltda,70000.0,True,404,False,
03845717001609,03845717,Realmar Distribuidora Ltda,125000.0,True,404,False,
03845717001790,03845717,Realmar Distribuidora Ltda,103914.45,True,404,False,
03845717001870,03845717,Realmar Distribuidora Ltda,125000.0,True,404,False,
03845717002508,03845717,Realmar Distribuidora Ltda,50000.0,True,404,False,
03845717003571,03845717,Realmar Distribuidora Ltda,100000.0,True,404,False,
03845717004039,03845717,Realmar Distribuidora Ltda,149972.41,True,404,False,
04023387000152,04023387,MÁRMORES E GRANITOS DO BRASIL S.A,150000.0,True,200,True,1992700.0
04330073000100,04330073,AMT Trading LTDA,130000.0,True,404,False,
05069718000310,05069718,Perfil Alumínio do Brasil S/A,419369.98,True,404,False,
06248349000476,06248349,Transportadora Associada de Gás - TAG,980000.0,True,404,False,
06955576000199,06955576,ITAPOA SUPERMERCADO LTDA,500000.0,True,200,True,142000.0
07526557001181,07526557,AMBEV S.A. CDD VITÓRIA,1000000.0,True,404,False,
07548056000124,07548056,Distribuidora Mascote LTDA,56524.73,True,404,False,
08625038000161,08625038,Kubit Exportação e Importação de Café Ltda,89192.8,True,404,False,
09492311000190,09492311,Mundo Distribuidora de Cosméticos LTDA,44308.24,True,404,False,
11277336000112,11277336,VM Comercio de Automoveis LTDA,477000.0,True,200,True,212767.0
22280114000175,22280114,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,20000.0,True,404,False,
27340074000808,27340074,Antônio Auto Peças S/A,239751.08,True,404,False,
27555390000112,27555390,Oriundi Supermercados LTDA,80012.99,True,200,True,193340.0
27555390000546,27555390,Oriundi Supermercados LTDA,120000.0,True,404,False,
28152650000171,28152650,EDP Espírito Santo Distribuição de Energia S.A,10975277.24,True,200,True,16518906.76
31731169000145,31731169,TUBOVAL COMERCIAL LTDA,264403.77,True,404,False,
31759699000100,31759699,Comercial Devens LTDA,65000.0,True,404,False,
31759699000282,31759699,Comercial Devens LTDA,43797.08,True,404,False,
31759699000363,31759699,Comercial Devens LTDA,61123.0,True,200,True,279004.0
31790710000196,31790710,Imetame Metalmecãnica LTDA,150000.0,True,200,True,7132824.65
31819139000195,31819139,A.S. Materiais de Construção Ltda,50000.0,True,404,False,
34307295000165,34307295,Companhia de Gás do Espírito Santo – ES GÁS,989200.0,True,200,True,2102073.62
39786983000179,39786983,VD Comercio de Veiculos LTDA,2184073.42,True,200,True,769709.0
39786983000411,39786983,VD Comercio de Veiculos LTDA,173000.0,True,404,False,
39786983001221,39786983,VD Comercio de Veiculos LTDA,93550.0,True,404,False,
39786983001736,39786983,VD Comercio de Veiculos LTDA,150000.0,True,404,False,
45901867000156,45901867,EV Comércio de Veículos LTDA,57000.0,True,200,True,78208.69
45901867000318,45901867,EV Comércio de Veículos LTDA,49855.55,True,404,False,
71189278000520,71189278,Orletti Veículos e Peças LTDA,136397.0,True,200,True,2922.08
