ano_recusa,projeto,ano_captacao,fonte,linha,contexto
2023,BRAVOS - A Vila do Fim do Mundo,2024,secult_captados_2024_pdf.txt,103,"Vitória/ES / Global Village / Creative E BRAVOS - A Vila Indústria de Alimentos / R$ 419.181,43 07.260.084/0001-41 R$ 259.378,33 / Executive do Fim do Mundo Santa Maria LTDA / Produtora Ltda."
2023,CineMarias Mulheres Protagonistas - 2023,2024,secult_captados_2024_pdf.txt,190,"PROJETOS / GÁS / CRIATIVOS LTDA / CineMarias / Companhia de Gás do / Puri Produções e Mulheres / R$ 500.000,00 Espírito Santo – ES 34.307.295/0001-65 R$ 300.000,00"
2023,CineMarias Mulheres Protagonistas - 2023,2024,secult_captados_2024_pdf.txt,536,"Vivendi Jose Carlos Vilar. / Precisão e ArcelorMittal Brasil S/A / suavidade R$ 490.437,23 (Tubarão) 17.469.701/0104-82 R$ 490.437,23 / CineMarias / Mulheres / Puri Produções e Protagonistas - ArcelorMittal Brasil S/A / Eventos LTDA 2023 R$ 500.000,00 (Tubarão) 17.469.701/0104-82 R$ 97.417,44"
2023,CineMarias Mulheres Protagonistas - 2023,2025,secult_captados_2025_v17_pdf.txt,360,"GÁS / EDP Espírito Santo / Odoyá Arte e Cultura / 4A Mostra CineMarias R$ 500.000,00 Distribuição de Energia 28.152.650/0001-71 R$ 500.000,00 14/01/2025 às 16:38hs / Produções LTDA / S.A / A Paixão Segundo São EDP Espírito Santo"
2023,CineMarias Mulheres Protagonistas - 2023,2025,dados/processados/captados_2025.csv,45,"4A Mostra CineMarias | Odoyá Arte e Cultura Produções LTDA | R$ 500.000,00 | EDP Espírito Santo Distribuição de Energia S.A"
2023,Coral ArcelorMittal - 2023,2024,secult_captados_2024_pdf.txt,119,"Concertos na / XXXXXXXXXXX GÁS / Grande Vitória"" / MM PROJETOS Coral ArcelorMittal ArcelorMittal Brasil S/A / R$ 500.000,00 17.469.701/0104-82 R$ 500.000,00 / CULTURAIS 2023 (Tubarão) / Núcleo de"
2023,"Festival Roda de Boteco, Colatina-ES",2024,secult_captados_2024_pdf.txt,228,"ESPORTIVAS E EDIÇÃO"" S.A / DE SAÚDE LTDA / Conexxo Serviços / Roda de Boteco - AMBEV S.A CDD / e Gestão de R$ 500.000,00 07.526.557/0011-81 R$ 500.000,00 / Grande Vitória VITÓRIA / Eventos LTDA."
2023,"Festival Roda de Boteco, Colatina-ES",2025,secult_captados_2025_v17_pdf.txt,156,"22/04/2025 às 16:11hs / Conexxo Serviços e AMBEV S.A. CDD / Roda de Boteco 2025 R$ 500.000,00 07.526.557/0011-81 R$ 500.000,00 projeto habilitado em / Gestão de Eventos VITÓRIA / 12/05/2025"
2023,"Festival Roda de Boteco, Colatina-ES",2025,dados/processados/captados_2025.csv,18,"Roda de Boteco 2025 | Conexxo Serviços e Gestão de Eventos | R$ 500.000,00 | AMBEV S.A. CDD VITÓRIA"
2023,"Festival Roda de Boteco, Colatina-ES",2026,secult_captados_2026_pdf.txt,119,"LTDA / CONEXXO / Companhia de Gás / SERVIÇOS E Roda de Boteco / R$ 500.000,00 do Espírito Santo – 34.307.295/0001-65 R$ 500.000,00 05/02/2026 16:21:58 / GESTÃO DE 2026 / ES Gás"
2023,Modernização museológica do Museu Aberto das Tartarugas Marinhas da Fundação Projeto Tamar em Vitória/ES,2024,secult_captados_2024_pdf.txt,92,"CENTRO / Museu Aberto das / BRASILEIRO DE / Tartarugas ArcelorMittal Brasil S/A / PROTEÇÃO E R$ 700.000,00 17.469.701/0104-82 R$ 700.000,00 / Marinhas da (Tubarão) / PESQUISA DAS"
2023,Modernização museológica do Museu Aberto das Tartarugas Marinhas da Fundação Projeto Tamar em Vitória/ES,2024,secult_captados_2024_pdf.txt,97,Marinhas da (Tubarão) / PESQUISA DAS / Fundação Projeto / TARTARUGAS / Tamar em / MARINHAS / Vitória/ES
2023,Ready to Rock,2024,secult_captados_2024_pdf.txt,28,"AS MATERIAIS DE / 31.819.139/0001-95 R$ 123.350,15 / CONSTRUÇÃO LTDA / Instituto Viva Vida Ready to Rock R$ 408.492,03 / ELSON’S PRODUTOS / 28.135.184.0001-16 R$ 49.463,81 / ALIMENTÍCIOS LTDA"
2023,Residência literária nas montanhas do Caparaó,2024,secult_captados_2024_pdf.txt,60,"FERREIRA / nas montanhas do R$ 161.622,55 SUPERMERCADO 00.483.394/0001-96 R$ 161.622,55 / SUETH / Caparaó EIRELI / XXXXXXXXXXX / CARAVANA / SAULO RIBEIRO EDP Espírito Santo"
2023,Residência literária nas montanhas do Caparaó,2026,secult_captados_2026_pdf.txt,300,"D. F. FAVORETTO / GRUPO TEATRAL REPERTÓRIO / R$ 500.000,00 SUPERMERCADO 00.483.394/0001-86 R$ 240.000,00 23/01/2026 16:10:23 / CAPARAÓ GRUPO TEATRAL / EIRELI / CAPARAÓ / A MÚSICA E A"
2023,Residência literária nas montanhas do Caparaó,2026,secult_captados_2026_pdf.txt,302,"R$ 500.000,00 SUPERMERCADO 00.483.394/0001-86 R$ 240.000,00 23/01/2026 16:10:23 / CAPARAÓ GRUPO TEATRAL / EIRELI / CAPARAÓ / A MÚSICA E A / RENATO SABAINI CAFÉ MERIDIANO / ARTE DE RENATO R$ 156.924,00 01.434.609/0001-31 R$ 156.924,00 29/01/2026 11:55:27"
2023,Residência literária nas montanhas do Caparaó,2026,secult_captados_2026_pdf.txt,617,"Associação / Cultura e Memória EDP Espírito Santo / Permacultural / do Caparaó – R$ 499.997,21 Distribuição de 28.152.650/0001-71 R$ 499.997,21 02/02/2026 00:25:37 / Jacutinga do / Armazém Multiverso Energia S.A / Caparaó"
2023,Residência literária nas montanhas do Caparaó,2026,secult_captados_2026_pdf.txt,620,"do Caparaó – R$ 499.997,21 Distribuição de 28.152.650/0001-71 R$ 499.997,21 02/02/2026 00:25:37 / Jacutinga do / Armazém Multiverso Energia S.A / Caparaó / -FASE II + Plano / Anual de Atividades / Culturais e"
2024,#EP10 - Encontro das Pretas 10 anos,2025,dados/processados/captados_2025.csv,3,"#EP10 - ENCONTRO DAS PRETAS 10 ANOS | INSTITUTO DAS PRETAS.ORG | R$ 499.999,84 | EDP Espírito Santo Distribuição de Energia S.A"
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,2026,secult_captados_2026_pdf.txt,490,"Floresta / Ampliação e / qualificação do / Museu da Baleia e / Instituto Baleia KURUMÁ / Galeria de Arte R$ 774.892,00 00.827.783/0019-00 R$ 388.000,00 16/01/2026 15:29:17 / Jubarte VEÍCULOS S/A"
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,2026,secult_captados_2026_pdf.txt,491,"Ampliação e / qualificação do / Museu da Baleia e / Instituto Baleia KURUMÁ / Galeria de Arte R$ 774.892,00 00.827.783/0019-00 R$ 388.000,00 16/01/2026 15:29:17 / Jubarte VEÍCULOS S/A / Memorial da Paz no"
