ano_recusa,projeto,proponente,valor_recusado,termos,captou_2024,captou_2025,captou_2026,obs
2023,BRAVOS - A Vila do Fim do Mundo,Global Village Creative E Executive Produtora Ltda,419181.43,1,sim,não,não,"mesmo título, patrocinador (Santa Maria) e valor habilitado (R$ 419.181,43)"
2023,CineMarias Mulheres Protagonistas - 2023,Puri Produções e Eventos LTDA,397417.44,1,sim,não,não,"mesma edição (2023) e proponente; R$ 300.000,00 + R$ 97.417,44 = valor recusado em 2023; 4ª Mostra CineMarias, outro proponente (Odoyá)"
2023,Cinema é coisa séria,Viana Projetos Culturais LTDA,499961.86,1,não,não,não,
2023,Coral ArcelorMittal - 2023,Daniel Gonçalves Morelo ME,500000.0,1,sim,não,não,"mesma edição (2023), patrocinador e valor; em 2024 o proponente listado é MM Projetos Culturais"
2023,Festival Novos Cantores - 2ª edição,Medusa Estúdio e Produções LTDA,476619.0,1,não,não,não,
2023,"Festival Roda de Boteco, Colatina-ES",CONEXXO Serviços e Gestão de Eventos,127000.0,3,não,não,não,Roda de Boteco - Grande Vitória (a recusada era a de Colatina); Roda de Boteco 2025; Roda de Boteco 2026
2023,"Jogo Digital: ""12 Anos no ES""",Mito Games Ltda,484842.05,4,não,não,não,
2023,Latasha,Finordia Produções Culturais Ltda.,250000.0,1,não,não,não,
2023,Modernização museológica do Museu Aberto das Tartarugas Marinhas da Fundação Projeto Tamar em Vitória/ES,Fundação Centro Brasileiro de Proteção e Pesquisa das Tartarugas Marinhas,700000.0,1,sim,não,não,"mesmo título, patrocinador e valor (R$ 700.000,00)"
2023,Ready to Rock,Instituto Viva Vida,160000.0,1,sim,não,não,"mesmo título e proponente, com outros patrocinadores"
2023,Residência literária nas montanhas do Caparaó,Danyel Ferreira Sueth,161622.55,1,sim,não,não,"mesmo título, patrocinador e valor (R$ 161.622,55); outros projetos com Caparaó no nome"
2024,"""Orquestra Jovem Capixaba - Concertos na Grande Vitória""",Tonobooks Produções LTDA,200000.0,1,—,não,não,
2024,#EP10 - Encontro das Pretas 10 anos,Instituto das Pretas.org,500000.0,1,—,sim,não,mesmo título e proponente; patrocinador EDP (recusado com ArcelorMittal)
2024,11º Festival de Música Erudita do Espírito Santo,Companhia de Ópera do Espírito Santo,440553.0,1,—,não,não,"busca manual (2026, linha 24): Festival de Música Erudita do Espírito Santo, edição não informada"
2024,9º TendaLab,Instituto Brasil de Cultura e Arte - IBCA,500000.0,1,—,não,não,
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,Instituto Baleia Jubarte,774892.0,1,—,não,sim,"mesmo título e valor habilitado (R$ 774.892,00); o anexo de 2026 inclui termos em análise"
2024,Diversão e Arte,WB Produções Artísticas e Culturais LTDA,499756.6,1,—,não,não,
2024,Diversão em Cena,WB Produções Artísticas e Culturais LTDA,500000.0,1,—,não,não,
2024,"Encantando pessoas, celebrando a natureza",Porto e Stein Produções LTDA-ME,316412.12,1,—,sim,não,mesmo título e proponente
2024,Escola de Música Tocando em Frente,Programa de Promoção e Assistência Social,499560.0,1,—,sim,não,mesmo título e proponente
2024,"Escola de fotógrafos cegos, novos olhares: territórios",Associação Sociedade Cultura e Arte - SOCA,30000.0,1,—,não,não,"Escola de Fotógrafos Cegos, A Exposição; valor habilitado diferente (R$ 496.800,00 × R$ 151.159,40)"
2024,Estúdio Escola de Animação,ATROM Produções e Consultoria,400000.0,1,—,sim,não,mesmo título e proponente
2024,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,SATIRICA FILMES PRODUÇÕES LTDA,499899.32,2,—,sim,não,"FECSTA 7, mesmo proponente e patrocinador (Tuboval); FECSTA 9"
2024,Festival Delírio Tropical,Puri Produções e Eventos LTDA,200000.0,1,—,sim,não,mesmo título e proponente
2024,Festival Manhágua,Caju Produções LTDA ME,500000.0,1,—,sim,não,mesmo título e proponente
2024,Festival Nacional de Teatro Cidade de Vitória - 20ª Edição,Associação Cultural Circense e Ambiental Uma Floresta,500000.0,1,—,sim,não,mesma edição (20ª)
2024,Filarmônica de Mulheres do Espírito Santo: música e representatividade,Instituto Todos os Cantos,420484.16,1,—,sim,não,mesmo título e proponente
2024,"MOINHO VITÓRIA: Remoção, Restauro e Reinstalação",Escritório de Arte Celso Adolfo LTDA,69231.75,1,—,não,não,
2024,Oficinas de Formação Música Clássica,TONOBOOKS Produções LTDA,499620.0,1,—,sim,não,"mesmo título, proponente e valor (R$ 499.620,00); outro proponente (Coreto)"
2024,Programa de Residência do Mosteiro Zen Morro da Vargem 2023,Mosteiro Zen Morro da Vargem - MZMV,499955.2,1,—,sim,não,mesma edição (2023)
2024,Quintal do CSE: Intervenções Socioespaciais Identitárias,Cidade Quintal Serviços de Design e Arte Urbana LTDA,485087.7,1,—,sim,não,mesmo título e proponente
2024,Vozes Plurais,Cine Teatro Ribalta Ltda.,464399.64,1,—,não,não,
