ano_captacao,cota,linha,cnpj_patrocinador,valor_captado,recebimento,recebimento_herdado,data_antes_do_ano
2025,1,19,28.152.650/0001-71,250000.0,2025-01-10 14:06:00,False,False
2025,1,26,28.152.650/0001-71,499999.84,2025-01-13 11:08:00,False,False
2025,1,32,03.845.717/0001-22,492000.0,2025-01-14 10:27:00,False,False
2025,1,37,05.069.718/0003-10,119369.98,2025-01-15 07:31:00,False,False
2025,1,43,02.689.900/0001-13,50000.0,2025-02-10 15:53:00,False,False
2025,1,46,03.380.787/0002-33,80000.0,2025-02-21 15:32:00,False,False
2025,1,50,28.152.650/0001-71,331937.73,2025-01-23 09:53:00,False,False
2025,1,54,05.069.718/0003-10,200000.0,2025-01-17 19:50:00,False,False
2025,1,57,31.819.139/0001-95,50000.0,2025-01-24 17:48:00,False,False
2025,1,61,03.845.717/0035-71,100000.0,2025-02-03 15:17:00,False,False
2025,1,64,03.845.717/0040-39,149972.41,2025-02-03 15:17:00,False,False
2025,1,69,28.152.650/0001-71,500000.0,2025-01-23 17:28:00,False,False
2025,1,76,09.492.311/0001-90,44308.24,2025-02-11 16:24:00,False,False
2025,1,84,07.548.056/0001-24,56524.73,2025-02-14 14:01:00,False,False
2025,1,89,07.526.557/0011-81,500000.0,2025-02-21 11:46:00,False,False
2025,1,96,27.340.074/0008-08,239751.08,2025-02-26 11:36:00,False,False
2025,1,103,03.845.717/0001-22,250000.0,2025-03-12 12:05:00,False,False
2025,1,109,00.827.783/0001-81,250000.0,2025-03-13 09:15:00,False,False
2025,1,115,06.248.349/0004-76,500000.0,2025-04-08 10:44:00,False,False
2025,1,119,06.955.576/0001-99,500000.0,2025-04-08 17:01:00,False,False
2025,1,125,00.827.783/0020-44,250000.0,2025-04-11 15:09:00,False,False
2025,1,131,03.845.717/0001-22,250000.0,2025-04-11 15:09:00,True,False
2025,1,139,06.248.349/0004-76,480000.0,2025-04-28 13:23:00,False,False
2025,1,148,28.152.650/0001-71,500000.0,2025-05-08 08:42:00,False,False
2025,1,156,07.526.557/0011-81,500000.0,2025-04-22 16:11:00,False,False
2025,1,161,31.790.710/0001-96,150000.0,2025-05-20 09:59:00,False,False
2025,1,164,31.759.699/0003-63,61123.0,2025-05-20 09:59:00,False,False
2025,1,168,31.759.699/0001-00,65000.0,2025-05-20 09:59:00,True,False
2025,1,171,27.555.390/0001-12,80012.99,2025-05-20 09:59:00,True,False
2025,2,183,28.152.650/0001-71,499896.0,2025-01-08 10:32:00,False,False
2025,2,187,39.786.983/0001-79,250000.0,2025-01-10 17:51:00,False,False
2025,2,191,39.786.983/0004-11,173000.0,2025-01-10 17:51:00,False,False
2025,2,195,11.277.336/0001-12,77000.0,2025-01-10 18:14:00,False,False
2025,2,199,28.152.650/0001-71,500000.0,2025-01-13 17:42:00,False,False
2025,2,204,28.152.650/0001-71,500000.0,2025-01-15 11:08:00,False,False
2025,2,211,28.152.650/0001-71,330000.0,2025-03-14 13:24:00,False,False
2025,3,227,28.152.650/0001-71,499560.0,2025-01-09 17:32:00,False,False
2025,3,232,71.189.278/0005-20,136397.0,2025-01-09 19:37:00,False,False
2025,3,238,11.277.336/0001-12,250000.0,2024-01-19 15:04:00,False,True
2025,3,243,28.152.650/0001-71,500000.0,2025-01-15 11:29:00,False,False
2025,3,248,00.827.783/0001-81,250000.0,2025-01-17 09:47:00,False,False
2025,3,254,39.786.983/0001-79,249999.0,2025-01-20 10:01:00,False,False
2025,3,260,28.152.650/0001-71,499955.2,2025-01-21 09:05:00,False,False
2025,3,266,03.845.717/0012-85,75000.0,2025-02-03 17:45:00,False,False
2025,3,269,03.845.717/0025-08,50000.0,2025-02-03 17:45:00,False,False
2025,3,273,03.845.717/0015-28,70000.0,2025-02-03 17:45:00,False,False
