calculo,referencia,valor_reproduzido
ADB p.122: n p/ MES Rs1.500,livro: 2.000,2009
ADB p.122: MES com n=2.000,livro: 1.504,1503
ADB p.122: n p/ MES Rs750,livro: 8.000,8037
ADB p.122: MES com n=8.000,livro: 752,752
ADB p.124: MES 50 cong. x 40 obs.,livro: quase 7.000,4460
ADB p.124: obs. p/ MES Rs1.500 (m=40),livro: 17.800,17682
ADB p.124: conglomerados (n/40),livro: 445,442
"ADB p.127: regra 16/mes^2, mes=0.5 (por braço)",livro: 64,64
"conferência exata z, mes=0.5 (por braço)",,63
"ADB p.127: regra 16/mes^2, mes=0.1 (por braço)",livro: 1.600,1600
"conferência exata z, mes=0.1 (por braço)",,1570
"ITT: n total p/ ATT=0,2 dp com PR=1.0",derivado eq. 3.2 + 7.2,785
"ITT: n total p/ ATT=0,2 dp com PR=0.8",derivado eq. 3.2 + 7.2,1226
"ITT: n total p/ ATT=0,2 dp com PR=0.7",derivado eq. 3.2 + 7.2,1602
"ITT: n total p/ ATT=0,2 dp com PR=0.6",derivado eq. 3.2 + 7.2,2180
"ITT: n total p/ ATT=0,2 dp com PR=0.5",derivado eq. 3.2 + 7.2,3140
