quadro,poder,emd,m,rho,conglomerados_total,n_calc_por_grupo,n_livro_por_grupo,dif,cong_necessarios_por_grupo,cong_livro_por_grupo
15.2,0.9,1.0,,,,1345.0,1344.0,1.0,,
15.2,0.9,2.0,,,,336.2,336.0,0.2,,
15.2,0.9,3.0,,,,149.4,150.0,-0.6,,
15.3,0.8,1.0,,,,1004.7,1004.0,0.7,,
15.3,0.8,2.0,,,,251.2,251.0,0.2,,
15.3,0.8,3.0,,,,111.6,112.0,-0.4,,
15.4 (var = p0(1-p0)),0.8,0.01,,,,7456.4,7257.0,199.4,,
15.4 (var = p0(1-p0)),0.8,0.02,,,,1864.1,1815.0,49.1,,
15.4 (var = p0(1-p0)),0.8,0.03,,,,828.5,807.0,21.5,,
15.5,0.8,1.0,102.0,0.04,100.0,5063.5,5100.0,-36.5,49.6,50.0
15.5,0.8,2.0,7.0,0.04,90.0,311.4,315.0,-3.6,44.5,45.0
15.5,0.8,3.0,3.0,0.04,82.0,120.6,123.0,-2.4,40.2,41.0
15.6,0.8,2.0,50.0,0.04,30.0,743.4,750.0,-6.6,14.9,15.0
15.6,0.8,2.0,13.0,0.04,58.0,371.7,377.0,-5.3,28.6,29.0
15.6,0.8,2.0,8.0,0.04,81.0,321.5,324.0,-2.5,40.2,40.5
15.6,0.8,2.0,7.0,0.04,90.0,311.4,315.0,-3.6,44.5,45.0
15.6,0.8,2.0,5.0,0.04,120.0,291.4,300.0,-8.6,58.3,60.0
