projeto,ciclos_habilitados,situacao
26º Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,2023,unico
#EP10 - ENCONTRO DAS PRETAS 10 ANOS,2024,unico
BOA VISTA CARNAVAL CAPIXABA 2025,2024,unico
207ª FESTA DO DIVINO ESPÍRITO SANTO DE VIANA-ES,2024,unico
14ª Festa Folclórica de Santo Antônio do Muqui,2023,unico
“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,,sem_correspondencia
Carnaval Folclórico do Boi Pintadinho de Muqui/ES - 2025,2025,unico
24º Festival Nacional de Teatro de Guaçuí,2024,unico
Baile Voador: ressaca do carnaval 2023,2023,unico
Raiar da Liberdade,2023;2025,ambiguo
97ª Festa de São Pedro - Edição 2025,2025,unico
Festival Nacional de Teatro Cidade de Vitória - 20º Edição,2024,unico
47ª Festa da Polenta,2025,unico
l FESTIVAL INTERNACIONAL DE JAZZ E BOSSA DE SANTA TERESA – 12ª EDIÇÃO,,sem_correspondencia
10º Festival Nacional de Cinema Ambiental do Espírito Santo - CINE.EMA,2024,unico
73º Encontro Nacional de Folias de Reis - Muqui-ES - 2024,2024,unico
Roda de Boteco 2025,,sem_correspondencia
13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,2025,unico
MAIS CULTURA NAS ESCOLAS,2022;2024,ambiguo
A Fantástica Carpintaria - Programa Educativo,2024,unico
MÚSICA E ARTES NA CAPITAL VITÓRIA ES,2022;2024,ambiguo
Musicalização Agrícola,2024,unico
Núcleo de Formação de Sanfona e Viola de São Pedro do Itabapoana - Ciclo II,,sem_correspondencia
ESCOLA DE MÚSICA TOCANDO EM FRENTE,2022;2023,ambiguo
A DANÇA: UNIVERSO EM EXPANSÃO,2024,unico
"Projeto Raízes da Aldeia: Cultura, Artesanato e Resgate",2024,unico
Corais das Montanhas,2024,unico
"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura",2024,unico
Programa de Residência do Mosteiro Zen Morro da Vargem 2023,2023,unico
TORNANDO IDEIAS REALIDADE,2023,unico
Oficinas de Formação Música Clássica,2023,unico
Restauração e revitalização do casarão Família Baptista,2023,unico
Festival Manhágua,2024,unico
'Filarmônica de Mulheres do Espírito Santo: música e representatividade”,2024,unico
Orquestra Brasileira de Cantores Cegos - 3º Repertório,2024,unico
Circulação de Espetáculo - Igrejas Históricas Capixabas,2024,unico
Festival Delírio Tropical,2024,unico
Turma da Ação,2024,unico
Estúdio Escola de Animação,2023,unico
2ª Festa da Palavra,2024,unico
Crias.Lab 2024,2024,unico
FESTIVAL ORIGRAFFES - 7° EDIÇÃO,2024,unico
Encontro das Chefs 2024,,sem_correspondencia
4A Mostra CineMarias,2024,unico
A Paixão Segundo São João de J. S. Bach,,sem_correspondencia
FECSTA 7 - FESTIVAL DE CINEMA DE SANTA TERESA - ES,2024,unico
Cidades 20-30,2024,unico
Compondo na Rua,2024,unico
"ENCANTANDO PESSOAS, CELEBRANDO A NATUREZA",2023,unico
Laboratório dos Sonhos,2024;2026,ambiguo
ENCONTRO DE CULTURAS POPULARES E TRADICIONAIS,2023,unico
2º FESTIVAL NACIONAL DE CAPOEIRA,2024,unico
Quintal do CSE: Intervenções Socioespaciais Identitárias,2023,unico
Tecer Folias,2024,unico
Orquestra de Câmara Infanto-juvenil João XXIII,2024,unico
A Escola vai ao Teatro Tratamento Técnico do Acervo Gráfico,,sem_correspondencia
"Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização.",,sem_correspondencia
Festival Batidas do Mundo,2024,unico
Teatro vai à escola - De onde vem o dinheiro?,2024,unico
Ecos Culturais do Convento,2024,unico
Mar Adentro,2024,unico
Samba que Eu Quero Ver - Mostra Cultural de Bamba,2023;2024,ambiguo
FESTIVAL RAÍZES DO SAMBA,2024,unico
