id,empresa,cnpj,aportado,projetos,fracao,acumulado,fonte
patr-edp-espirito-santo-distribuicao-de-energia-s-a,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71,10975277.24,25,0.4390110896,0.4390110896,dados/licc/graph.json (arestas patrocina com peso)
patr-kuruma-veiculos-s-a,Kuruma Veiculos S.A.,00.827.783/0001-81,2705276.26,11,0.1082110504,0.54722214,dados/licc/graph.json (arestas patrocina com peso)
patr-vd-comercio-de-veiculos-ltda,VD Comercio de Veiculos LTDA,,2600623.42,10,0.1040249368,0.6512470768,dados/licc/graph.json (arestas patrocina com peso)
patr-realmar-distribuidora-ltda,Realmar Distribuidora Ltda,03.845.717/0001-22,2165886.86,7,0.0866354744,0.7378825512,dados/licc/graph.json (arestas patrocina com peso)
patr-ambev-s-a-cdd-vitoria,AMBEV S.A. CDD VITÓRIA,07.526.557/0011-81,1000000.0,2,0.04,0.7778825512,dados/licc/graph.json (arestas patrocina com peso)
patr-companhia-de-gas-do-espirito-santo-es-gas,Companhia de Gás do Espírito Santo – ES GÁS,34.307.295/0001-65,989200.0,2,0.039568,0.8174505512000001,dados/licc/graph.json (arestas patrocina com peso)
patr-transportadora-associada-de-gas-tag,Transportadora Associada de Gás - TAG,06.248.349/0004-76,500000.0,1,0.02,0.8374505512000001,dados/licc/graph.json (arestas patrocina com peso)
patr-itapoa-supermercado-ltda,ITAPOA SUPERMERCADO LTDA,06.955.576/0001-99,500000.0,1,0.02,0.8574505512000001,dados/licc/graph.json (arestas patrocina com peso)
patr-transportadora-associada-de-gas-s-a-tag,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,06.248.349/0004-76,480000.0,1,0.0192,0.8766505512000001,dados/licc/graph.json (arestas patrocina com peso)
patr-vm-comercio-de-automoveis-ltda,VM Comercio de Automoveis LTDA,11.277.336/0001-12,477000.0,3,0.01908,0.8957305512000001,dados/licc/graph.json (arestas patrocina com peso)
patr-perfil-aluminio-do-brasil-s-a,Perfil Alumínio do Brasil S/A,05.069.718/0003-10,419369.98,3,0.0167747992,0.9125053504000001,dados/licc/graph.json (arestas patrocina com peso)
patr-tuboval-comercial-ltda,TUBOVAL COMERCIAL LTDA,31.731.169/0001-45,264403.77,1,0.010576150800000001,0.9230815012000001,dados/licc/graph.json (arestas patrocina com peso)
patr-kuruma-veiculos-s-a-decolores,Kuruma Veiculos S.A DECOLORES,00.827.783/0001-81,250000.0,1,0.01,0.9330815012000001,dados/licc/graph.json (arestas patrocina com peso)
patr-antonio-auto-pecas-s-a,Antônio Auto Peças S/A,27.340.074/0008-08,239751.08,1,0.009590043199999999,0.9426715444000001,dados/licc/graph.json (arestas patrocina com peso)
patr-oriundi-supermercados-ltda,Oriundi Supermercados LTDA,27.555.390/0001-12,200012.99,2,0.0080005196,0.9506720640000001,dados/licc/graph.json (arestas patrocina com peso)
patr-comercial-devens-ltda,Comercial Devens LTDA,,169920.08,2,0.0067968032,0.9574688672000001,dados/licc/graph.json (arestas patrocina com peso)
patr-imetame-metalmecanica-ltda,Imetame Metalmecãnica LTDA,31.790.710/0001-96,150000.0,1,0.006,0.9634688672000001,dados/licc/graph.json (arestas patrocina com peso)
patr-marmores-e-granitos-do-brasil-s-a,MÁRMORES E GRANITOS DO BRASIL S.A,04.023.387/0001-52,150000.0,1,0.006,0.9694688672000001,dados/licc/graph.json (arestas patrocina com peso)
patr-orletti-veiculos-e-pecas-ltda,Orletti Veículos e Peças LTDA,71.189.278/0005-20,136397.0,1,0.00545588,0.9749247472000001,dados/licc/graph.json (arestas patrocina com peso)
patr-amt-trading-ltda,AMT Trading LTDA,04.330.073/0001-00,130000.0,1,0.0052,0.9801247472000001,dados/licc/graph.json (arestas patrocina com peso)
patr-ev-comercio-de-veiculos-ltda,EV Comércio de Veículos LTDA,45.901.867/0001-56,106855.55,2,0.004274222,0.9843989692000001,dados/licc/graph.json (arestas patrocina com peso)
patr-kubit-exportacao-e-importacao-de-cafe-ltda,Kubit Exportação e Importação de Café Ltda,08.625.038/0001-61,89192.8,1,0.0035677120000000002,0.9879666812000001,dados/licc/graph.json (arestas patrocina com peso)
patr-l-a-distribuidora-de-alimentos-e-embalagens,L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS,03.380.787/0002-33,80000.0,1,0.0032,0.9911666812000001,dados/licc/graph.json (arestas patrocina com peso)
patr-distribuidora-mascote-ltda,Distribuidora Mascote LTDA,07.548.056/0001-24,56524.73,1,0.0022609892,0.9934276704,dados/licc/graph.json (arestas patrocina com peso)
patr-distribuidora-pomar,Distribuidora Pomar,02.689.900/0001-13,50000.0,1,0.002,0.9954276704,dados/licc/graph.json (arestas patrocina com peso)
patr-a-s-materiais-de-construcao-ltda,A.S. Materiais de Construção Ltda,31.819.139/0001-95,50000.0,1,0.002,0.9974276704,dados/licc/graph.json (arestas patrocina com peso)
patr-mundo-distribuidora-de-cosmeticos-ltda,Mundo Distribuidora de Cosméticos LTDA,09.492.311/0001-90,44308.24,1,0.0017723296,0.9992,dados/licc/graph.json (arestas patrocina com peso)
patr-elit-distribuidora-de-tintas-e-revestimentos-ltda,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,22.280.114/0001-75,20000.0,1,0.0008,1.0,dados/licc/graph.json (arestas patrocina com peso)
