raiz_cnpj,nomes,aportado,termos,fracao,acumulado,fonte
28.152.650,EDP Espírito Santo Distribuição de Energia S.A,10975277.24,25,0.4390110896,0.4390110896,dados/licc/oficial/captados-2025.csv (coluna aportes)
00.827.783,Kuruma Veiculos S.A / Kuruma Veiculos S.A DECOLORES / Kuruma Veiculos S.A. / Kurumá Veiculos S.A,2955276.26,12,0.11821105039999999,0.55722214,dados/licc/oficial/captados-2025.csv (coluna aportes)
39.786.983,VD Comercio de Veiculos LTDA,2600623.42,11,0.1040249368,0.6612470768,dados/licc/oficial/captados-2025.csv (coluna aportes)
03.845.717,REALMAR DISTRIBUIDORA LTDA / Realmar Distribuidora Ltda,2165886.86,14,0.0866354744,0.7478825512,dados/licc/oficial/captados-2025.csv (coluna aportes)
07.526.557,AMBEV S.A. CDD VITÓRIA,1000000.0,2,0.04,0.7878825512000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
34.307.295,Companhia de Gás do Espírito Santo – ES GÁS,989200.0,2,0.039568,0.8274505512000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
06.248.349,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG / Transportadora Associada de Gás - TAG,980000.0,2,0.0392,0.8666505512000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
06.955.576,ITAPOA SUPERMERCADO LTDA,500000.0,1,0.02,0.8866505512000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
11.277.336,VM Comercio de Automoveis LTDA,477000.0,3,0.01908,0.9057305512000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
05.069.718,PERFIL ALUMINIO DO BRASIL S/A / Perfil Alumínio do Brasil S/A,419369.98,3,0.0167747992,0.9225053504000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
31.731.169,TUBOVAL COMERCIAL LTDA,264403.77,1,0.010576150800000001,0.9330815012000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
27.340.074,Antônio Auto Peças S/A,239751.08,1,0.009590043199999999,0.9426715444000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
27.555.390,Oriundi Supermercados LTDA,200012.99,2,0.0080005196,0.9506720640000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
31.759.699,Comercial Devens LTDA,169920.08000000002,3,0.006796803200000001,0.9574688672000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
31.790.710,Imetame Metalmecãnica LTDA,150000.0,1,0.006,0.9634688672000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
04.023.387,MÁRMORES E GRANITOS DO BRASIL S.A,150000.0,1,0.006,0.9694688672000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
71.189.278,Orletti Veículos e Peças LTDA,136397.0,1,0.00545588,0.9749247472000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
04.330.073,AMT Trading LTDA,130000.0,1,0.0052,0.9801247472000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
45.901.867,EV Comércio de Veículos LTDA,106855.55,2,0.004274222,0.9843989692000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
08.625.038,Kubit Exportação e Importação de Café Ltda,89192.8,1,0.0035677120000000002,0.9879666812000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
03.380.787,L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS,80000.0,1,0.0032,0.9911666812000001,dados/licc/oficial/captados-2025.csv (coluna aportes)
07.548.056,Distribuidora Mascote LTDA,56524.73,1,0.0022609892,0.9934276704,dados/licc/oficial/captados-2025.csv (coluna aportes)
02.689.900,Distribuidora Pomar,50000.0,1,0.002,0.9954276704,dados/licc/oficial/captados-2025.csv (coluna aportes)
31.819.139,A.S. Materiais de Construção Ltda,50000.0,1,0.002,0.9974276704,dados/licc/oficial/captados-2025.csv (coluna aportes)
09.492.311,Mundo Distribuidora de Cosméticos LTDA,44308.24,1,0.0017723296,0.9992,dados/licc/oficial/captados-2025.csv (coluna aportes)
22.280.114,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,20000.0,1,0.0008,1.0,dados/licc/oficial/captados-2025.csv (coluna aportes)
