indicador,medida,valor,base,universo,fonte
1_capital,total_aportado,25000000.0,28.0,28.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital,gini_aporte_por_empresa,0.7425,28.0,28.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital,empresas_para_metade,2.0,28.0,28.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital,fracao_tres_maiores,0.6512,28.0,28.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital,fracao_maior_empresa,0.439,28.0,28.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital,projetos_maior_empresa,25.0,28.0,28.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital,arestas_patrocina_com_peso,86.0,,,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,captado_rmgv,9538391.67,37.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,captado_interior,4830727.38,37.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,captado_atribuido_total,14369119.05,37.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,fracao_na_rmgv,0.6638,37.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,municipios_rmgv,7.0,,78.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,municipios_sem_projeto,59.0,40.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,municipios_com_presenca,19.0,40.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,gini_captado_78_municipios,0.9214,37.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,projetos_rmgv_presenca,30.0,40.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
2_territorio,projetos_interior_presenca,17.0,40.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,autorizado,27802174.47,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,captado,25000000.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,taxa_geral,0.8992,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,nao_captaram_zero_publicado,0.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,captacao_desconhecida,0.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,projetos_captaram_100pct,47.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,taxa_mediana_por_projeto,1.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,taxa_minima_por_projeto,0.0413,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
3_conversao,projetos_com_segmento,0.0,,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
4_quem_executa,proponentes_com_1_projetos,42.0,52.0,52.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
4_quem_executa,proponentes_com_2_projetos,9.0,52.0,52.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
4_quem_executa,proponentes_com_3_projetos,1.0,52.0,52.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
4_quem_executa,proponentes_com_natureza,0.0,0.0,52.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
4_quem_executa,proponentes_no_limite_3,1.0,52.0,52.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,projetos_com_1_termos,45.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,projetos_com_2_termos,8.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,projetos_com_3_termos,6.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,projetos_com_4_termos,4.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,soma_dos_termos,25000000.0,95.0,95.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,autorizado_mediana,499620.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,autorizado_maximo,500000.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
0_captados_2025,proponentes_grafias_distintas,55.0,63.0,63.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital_raiz_cnpj,termos_de_patrocinio,95.0,,,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital_raiz_cnpj,cnpjs_de_estabelecimento,46.0,,,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital_raiz_cnpj,empresas_raiz_cnpj,26.0,,,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital_raiz_cnpj,gini_por_raiz,0.7479,26.0,26.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital_raiz_cnpj,fracao_tres_maiores,0.6612,26.0,26.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
1_capital_raiz_cnpj,empresas_para_metade,2.0,26.0,26.0,dados/licc/graph.json; dados/licc/oficial/captados-2025.csv
