arquivo,linhas,coluna,preenchidas,distintos,exemplos
dados/licc/habilitados/habilitados-2022.csv,69,numero_processo,69,69,2022-05G2G | 2022-05N9Z | 2022-0PP25 | 2022-1810C
dados/licc/habilitados/habilitados-2022.csv,69,projeto,69,69,"""Mais Cultura Nas Escolas"" | 11º FECIM - Festival de TV e Cinema de Muqui | 1ª Etapa do Museu do Mosteiro Zen. | 24o Festival De Inverno Da Sanfona E Da Viola D"
dados/licc/habilitados/habilitados-2022.csv,69,proponente,69,63,ASSOCIAÇÃO ALEF BET | Academia Lenira Borges Ltda | Acordes Centro De Música E Artes Ltda | Andaluz Producoes LTDA-ME
dados/licc/habilitados/habilitados-2022.csv,69,municipio,69,38,Afonso Cláudio | Alegre; Guaçuí; Afonso Cláudio; Castelo; Cariacica; Itaguaçu; Montanha; Rio Novo do Sul; Viana; Serra; Vitória | Alta Vitória | Aracruz Vitória
dados/licc/habilitados/habilitados-2022.csv,69,valor_autorizado,69,60,100000 | 107126.41 | 114625.44 | 115468.47
dados/licc/habilitados/habilitados-2022.csv,69,valor_total,69,64,100000 | 107126.41 | 114625.44 | 115468.47
dados/licc/habilitados/habilitados-2022.csv,69,status,69,2,captacao_expirada | concluido
dados/licc/habilitados/habilitados-2022.csv,69,enquadramento,0,1,
dados/licc/habilitados/habilitados-2022.csv,69,fonte_url,69,1,https://secult.es.gov.br/lista-de-projetos-habilitados
dados/licc/habilitados/habilitados-2022.csv,69,fonte_pagina,69,3,24 | 25 | 26
dados/licc/habilitados/habilitados-2023.csv,113,numero_processo,113,113,2022-0GW77 | 2022-0SN3K | 2022-1557P | 2022-185J7
dados/licc/habilitados/habilitados-2023.csv,113,projeto,113,112,"""Caravana Pé na Estrada"" - 5ª Edição | 11° Festival de Música Erudita do Espírito Santo | 14ª Festa Folclórica de Santo Antônio do Muqui | 23º Festival Nacional"
dados/licc/habilitados/habilitados-2023.csv,113,proponente,113,99,AGÊNCIA DE DESENVOLVIMENTO E INOVACAO SOCIOCULTURAL - ADECULT | ASSOCIAÇÃO ALEF BET | ASSOCIAÇÃO ARTISTICA E FOLCLORICA AFRO BRASILEIRA | ASSOCIAÇÃO FESTA DA CA
dados/licc/habilitados/habilitados-2023.csv,113,municipio,113,50,Alegre | Anchieta | Aracruz | Aracruz Vitória
dados/licc/habilitados/habilitados-2023.csv,113,valor_autorizado,112,90,118307.5 | 122241.66 | 125296.69 | 141034.48
dados/licc/habilitados/habilitados-2023.csv,113,valor_total,112,102,1028150 | 1143000 | 1150000 | 118307.5
dados/licc/habilitados/habilitados-2023.csv,113,status,113,3,captacao_expirada | concluido | em_execucao
dados/licc/habilitados/habilitados-2023.csv,113,enquadramento,0,1,
dados/licc/habilitados/habilitados-2023.csv,113,fonte_url,113,1,https://secult.es.gov.br/lista-de-projetos-habilitados
dados/licc/habilitados/habilitados-2023.csv,113,fonte_pagina,113,7,18 | 19 | 20 | 21
dados/licc/habilitados/habilitados-2024.csv,123,numero_processo,123,123,2022-08G6P | 2022-5KQ5X | 2023-0HB19 | 2023-0J1G1
dados/licc/habilitados/habilitados-2024.csv,123,projeto,123,123,"""A Escola vai ao Teatro"" | ""Festival Manhágua” | ""MADALENA"" | ""Teatro vai à escola - De onde vem o dinheiro?"""
