id,municipio,regiao,rmgv,projetos_presenca,captado_atribuido,projetos_com_valor,fonte
mun-vitoria,Vitória,Metropolitana,True,16,5928137.69,14,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-vila-velha,Vila Velha,Metropolitana,True,5,1963550.0,4,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-cariacica,Cariacica,Metropolitana,True,6,1397334.0,4,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-afonso-claudio,Afonso Cláudio,Sudoeste Serrana,False,2,1000000.0,2,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-muqui,Muqui,Central Sul,False,2,1000000.0,2,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-mimoso-do-sul,Mimoso do Sul,Central Sul,False,2,581937.73,2,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-venda-nova-do-imigrante,Venda Nova do Imigrante,Sudoeste Serrana,False,1,500000.0,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-ibiracu,Ibiraçu,Rio Doce,False,1,499999.0,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-sao-mateus,São Mateus,Nordeste,False,1,284192.8,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-santa-teresa,Santa Teresa,Central Serrana,False,1,264403.77,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-aracruz,Aracruz,Rio Doce,False,2,250000.0,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-viana,Viana,Metropolitana,True,1,249369.98,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-joao-neiva,João Neiva,Rio Doce,False,1,163797.08,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-vargem-alta,Vargem Alta,Central Sul,False,1,150000.0,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-pinheiros,Pinheiros,Nordeste,False,1,136397.0,1,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-cachoeiro-de-itapemirim,Cachoeiro de Itapemirim,Central Sul,False,1,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-guarapari,Guarapari,Metropolitana,True,1,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-linhares,Linhares,Rio Doce,False,1,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-serra,Serra,Metropolitana,True,1,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-agua-doce-do-norte,Água Doce do Norte,Centro-Oeste,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-aguia-branca,Águia Branca,Centro-Oeste,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-alegre,Alegre,Caparaó,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-alfredo-chaves,Alfredo Chaves,Litoral Sul,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-alto-rio-novo,Alto Rio Novo,Centro-Oeste,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-anchieta,Anchieta,Litoral Sul,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
mun-apiaca,Apiacá,Caparaó,False,0,0.0,0,dados/licc/graph.json (meta.municipiosIds / meta.municipioId dos projetos)
