id,ano,descricao,esperado,obtido,status,fonte
P1,2022,URL do .txt = URL do manifesto do relé,https://secult.es.gov.br/media/PDF/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202022.pdf,https://secult.es.gov.br/media/PDF/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202022.pdf,confere,dados/fontes_web/paginas/secult_captados_2022_pdf.txt
P2,2022,sha256 do PDF no .txt = manifesto,67945f574cec16f23fb4458e13ccc5e0c82a67ca918a8f6a44be15d160c0886e,67945f574cec16f23fb4458e13ccc5e0c82a67ca918a8f6a44be15d160c0886e,confere,dados/fontes_web/manifesto.csv
P1,2023,URL do .txt = URL do manifesto do relé,https://secult.es.gov.br/media/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202023.pdf,https://secult.es.gov.br/media/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202023.pdf,confere,dados/fontes_web/paginas/secult_captados_2023_pdf.txt
P2,2023,sha256 do PDF no .txt = manifesto,3a790deed8e01b95f3677e366eb9c5c09ba2d58fd86af84cd20d8a8024da8aac,3a790deed8e01b95f3677e366eb9c5c09ba2d58fd86af84cd20d8a8024da8aac,confere,dados/fontes_web/manifesto.csv
P1,2024,URL do .txt = URL do manifesto do relé,https://secult.es.gov.br/media/2024/RECURSO%20FINANCEIRO%20CAPTADO%20-%202024%20%286%29.pdf,https://secult.es.gov.br/media/2024/RECURSO%20FINANCEIRO%20CAPTADO%20-%202024%20%286%29.pdf,confere,dados/fontes_web/paginas/secult_captados_2024_pdf.txt
P2,2024,sha256 do PDF no .txt = manifesto,19286bb60560325dedd49612321321a343a7ca751700975aa1198ccbc196f49b,19286bb60560325dedd49612321321a343a7ca751700975aa1198ccbc196f49b,confere,dados/fontes_web/manifesto.csv
P1,2025,URL do .txt = URL do manifesto do relé,https://secult.es.gov.br/media/2025/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025%20%2817%29.pdf,https://secult.es.gov.br/media/2025/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025%20%2817%29.pdf,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
P2,2025,sha256 do PDF no .txt = manifesto,1e0ac02d4b026691384f0f80bc343cc6beb02547b9083b67bbd8f83b1421fcda,1e0ac02d4b026691384f0f80bc343cc6beb02547b9083b67bbd8f83b1421fcda,confere,dados/fontes_web/manifesto.csv
P1,2026,URL do .txt = URL do manifesto do relé,https://secult.es.gov.br/media/2026/RECURSO%20FINANCEIRO%20CAPTADO%20-%202026-2.pdf,https://secult.es.gov.br/media/2026/RECURSO%20FINANCEIRO%20CAPTADO%20-%202026-2.pdf,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
P2,2026,sha256 do PDF no .txt = manifesto,1d9e507814910e443f35fc2560a1600f0d36e63d4563e5ecb5ccb61140199879,1d9e507814910e443f35fc2560a1600f0d36e63d4563e5ecb5ccb61140199879,confere,dados/fontes_web/manifesto.csv
