id,status,recalculado,fonte,trecho
D01,CONFERE,463,analise/tabelas/03_anual.csv,anexos oficiais de 463 projetos habilitados
D02,CONFERE,67%,analise/tabelas/03_territorio_rmgv_interior.csv,onde fica 67% do valor atribuível
D03,CONFERE,duas,analise/tabelas/03_patrocinadores_concentracao.csv,duas empresas respondem por metade da renúncia de 2025
D04,CONFERE,"0,25 a 0,45",analise/tabelas/05_poder_d1_proponente.csv,"detecta efeitos a partir de 0,25 a 0,45 desvio-padrão"
D05,CONFERE,R\$ 10 milhões em 2022 para R\$ 31 milhões,dados/externos/licc_teto_vs_icms.csv,passou de R\$ 10 milhões em 2022 para R\$ 31 milhões em 2026
D06,CONFERE,463 projetos foram habilitados a captar R\$ 184 milhões nos cinco ciclos (459 com valor publicado),analise/tabelas/03_anual.csv,463 projetos foram habilitados a captar R\$ 184 milhões nos cinco ciclos (459 com valor publicado)
D07,CONFERE,"63 projetos captaram exatamente R\$ 25.000.000,00",analise/tabelas/licc_captados_2025_totais.csv,"63 projetos captaram exatamente R\$ 25.000.000,00"
D08,CONFERE,"4,2% dos trabalhadores do ES, contra 5,8% no país, a 18ª",dados/externos/siic_uf.csv,"ocupava 4,2% dos trabalhadores do ES, contra 5,8% no país, a 18ª participação"
D09,CONFERE,"95% da população da Região Metropolitana da Grande Vitória (RMGV) vivia em município com cinema, contra 34%",dados/externos/munic2021_cultura_es_resumo.csv,"95% da população da Região Metropolitana da Grande Vitória (RMGV) vivia em município com cinema, contra 34%"
D10,CONFERE,metade dos municípios do interior não tinha fundo municipal de cultura e só 16%,dados/externos/munic2021_cultura_es_resumo.csv,metade dos municípios do interior não tinha fundo municipal de cultura e só 16% tinham plano municipal
D11,CONFERE,14% a 21%,"dados/externos/licc_teto_vs_icms.csv (teto_sobre_f13_estado, 2022-2025)",o teto de renúncia equivale a 14% a 21% do gasto estadual direto
D12,CONFERE,14% a 21%,dados/externos/licc_teto_vs_icms.csv,"| Teto / gasto estadual na função cultura, 2022-2025 | 14% a 21% |"
D13,CONFERE,"0,16%",dados/externos/licc_teto_vs_icms.csv,"| Teto de 2025 / ICMS estadual de 2024 | 0,16% |"
D14,CONFERE,"1,1 a 1,9",analise/tabelas/03_anual.csv ÷ dados/externos/licc_teto_vs_icms.csv (teto do ano seguinte),"ciclos 2022-2025 | 1,1 a 1,9 |"
D15,CONFERE,"100% (R\$ 25,0 mi)",analise/tabelas/licc_captados_2025_totais.csv,"| Captado em 2025 / teto de 2025 | 100% (R\$ 25,0 mi) |"
D16,CONFERE,16%; 30%; 45%,analise/tabelas/03_status_por_ciclo.csv,(2022; 2023; 2024) | 16%; 30%; 45% |
D17,CONFERE,13% → 41%,analise/tabelas/03_bunching_teto.csv,(2022 → 2026) | 13% → 41% |
D18,CONFERE,63%; 51%,analise/tabelas/03_proponentes_por_ciclo.csv,(2025; 2026) | 63%; 51% |
D19,CONFERE,17%; 47%,analise/tabelas/03_proponentes_recorrencia.csv,parcela dos proponentes e do valor | 17%; 47% |
