status,doi,referencia,problemas,titulo_fonte,periodico_fonte,ano_fonte,fonte
VERIFIED,10.1080/01621459.1996.10476902,"ANGRIST, Joshua D.; IMBENS, Guido W.; RUBIN, Donald B. Identification of causal effects us",,Identification of Causal Effects Using Instrumental Variables,Journal of the American Statistical Association,1996,Crossref
sem_doi,,"BARROS, Ricardo Paes de; LIMA, Lycia. Avaliação de impacto de programas sociais: por que, ",,,,,
sem_doi,,"BAUMOL, William J.; BOWEN, William G. **Performing arts**: the economic dilemma. New York:",,,,,
sem_doi,,"BELEM, Marcela Purini; DONADONE, Julio Cesar. A Lei Rouanet e a construção do ""mercado de ",,,,,
VERIFIED,10.1023/B:JCEC.0000009823.76834.64,"BORGONOVI, Francesca; O'HARE, Michael. The impact of the National Endowment for the Arts i",,The Impact of the National Endowment for the Arts in the United States: Institutional and Sectoral Effects on Private Funding,Journal of Cultural Economics,2004,Crossref
VERIFIED,10.1111/coep.12443,"BRADBURY, J. C. Do movie production incentives generate economic development? **Contempora",,DO MOVIE PRODUCTION INCENTIVES GENERATE ECONOMIC DEVELOPMENT?,Contemporary Economic Policy,2020,Crossref
sem_doi,,BRASIL. Tribunal de Contas da União. **Acórdão nº 1.205/2014 – Plenário**. Relator: Raimun,,,,,
sem_doi,,BRASIL. Tribunal de Contas da União. **Acórdão nº 191/2016 – Plenário**. Relator: Augusto ,,,,,
VERIFIED,10.1111/jors.12485,"BRONZINI, R.; MOCETTI, S.; MONGARDINI, M. The economic effects of big events: evidence fro",,The economic effects of big events: Evidence from the great jubilee 2000 in Rome,Journal of Regional Science,2020,Crossref
VERIFIED,10.1111/j.0275-1100.2004.02402006.x,"BROOKS, A. C. In search of true public arts support. **Public Budgeting & Finance**, v. 24",,In Search of True Public Arts Support,Public Budgeting & Finance,2004,Crossref
VERIFIED,10.1016/j.regsciurbeco.2019.06.002,"BUTTON, Patrick. Do tax incentives affect business location and economic development? Evid",,Do tax incentives affect business location and economic development? Evidence from state film incentives,Regional Science and Urban Economics,2019,Crossref
VERIFIED,10.1016/j.jeconom.2020.12.001,"CALLAWAY, Brantly; SANT'ANNA, Pedro H. C. Difference-in-differences with multiple time per",,Difference-in-Differences with multiple time periods,Journal of Econometrics,2021,Crossref
VERIFIED,10.1590/0034-7612162254,"COSTA, Camila Furlan da; MEDEIROS, Igor Baptista de Oliveira; BUCCO, Guilherme Brandelli. ",,O financiamento da cultura no Brasil no período 2003-15: um caminho para geração de renda monopolista,Revista de Administração Pública,2017,Crossref
VERIFIED,10.1332/251569119X15675896589688,"DEKKER, Erwin; RODRIGUES, Ana Carolina. The political economy of Brazilian cultural policy",,The political economy of Brazilian cultural policy: a case study of the Rouanet Law,Journal of Public Finance and Public Choice,2019,Crossref
VERIFIED,10.1080/19439342.2016.1244555,"DJIMEU, Eric W.; HOUNDOLO, Deo-Gracias. Power calculation for causal inference in social s",,Power calculation for causal inference in social science: sample size and minimum detectable effect determination,Journal of Development Effectiveness,2016,Crossref
VERIFIED,10.1093/ije/dyl129,"ELDRIDGE, Sandra M.; ASHBY, Deborah; KERRY, Sally. Sample size for cluster randomized tria",,Sample size for cluster randomized trials: effect of coefficient of variation of cluster size and analysis method,International Journal of Epidemiology,2006,Crossref
sem_doi,,"ESPÍRITO SANTO (Estado). Lei nº 11.246, de 7 de abril de 2021. Introduz alterações na Lei ",,,,,
sem_doi,,"ESPÍRITO SANTO (Estado). Decreto nº 5.035-R, de 15 de dezembro de 2021. Dispõe sobre a reg",,,,,
sem_doi,,"FELD, Alan L.; O'HARE, Michael; SCHUSTER, J. Mark Davidson. **Patrons despite themselves**",,,,,
VERIFIED,10.1177/1745691614551642,"GELMAN, Andrew; CARLIN, John. Beyond power calculations: assessing type S (sign) and type ",,Beyond Power Calculations,Perspectives on Psychological Science,2014,Crossref
sem_doi,,"GERTLER, Paul J.; MARTÍNEZ, Sebastián; PREMAND, Patrick; RAWLINGS, Laura B.; VERMEERSCH, C",,,,,
VERIFIED,10.1007/s10824-016-9281-x,"GOMES, Pedro; LIBRERO-CANO, Alejandro. Evaluating three decades of the European Capital of",,Evaluating three decades of the European Capital of Culture programme: a difference-in-differences approach,Journal of Cultural Economics,2018,Crossref
VERIFIED,10.1016/j.jeconom.2021.03.014,"GOODMAN-BACON, Andrew. Difference-in-differences with variation in treatment timing. **Jou",,Difference-in-differences with variation in treatment timing,Journal of Econometrics,2021,Crossref
VERIFIED,10.5433/2176-6665.2020v25n2p412,"GUIMARÃES, Bruno Costa. Concentração cultural: por que podemos dizer que, no Brasil, o inv",,"Concentração cultural: Por que podemos dizer que, no Brasil, o investimento na cultura está mais concentrado que o PIB?",Mediações - Revista de Ciências Sociais,2020,Crossref
sem_doi,,"IBGE. **Sistema de Informações e Indicadores Culturais**. Rio de Janeiro: IBGE, 2025. Base",,,,,
sem_doi,,"IBGE. **Pesquisa de Informações Básicas Municipais – MUNIC 2021**. Rio de Janeiro: IBGE, 2",,,,,
VERIFIED,10.1016/j.jdeveco.2012.01.002,"MCKENZIE, David. Beyond baseline and follow-up: the case for more T in experiments. **Jour",,Beyond baseline and follow-up: The case for more T in experiments,Journal of Development Economics,2012,Crossref
VERIFIED,10.1023/A:1007653328733,"O'HAGAN, J.; HARVEY, D. Why do companies sponsor arts events? Some evidence and a proposed",,Why Do Companies Sponsor Arts Events? Some Evidence and a Proposed Classification,Journal of Cultural Economics,2000,Crossref
VERIFIED,10.1093/restud/rdad018,"RAMBACHAN, Ashesh; ROTH, Jonathan. A more credible approach to parallel trends. **The Revi",,A More Credible Approach to Parallel Trends,Review of Economic Studies,2023,Crossref
VERIFIED,10.1016/j.jeconom.2020.06.003,"SANT'ANNA, Pedro H. C.; ZHAO, Jun. Doubly robust difference-in-differences estimators. **J",,Doubly robust difference-in-differences estimators,Journal of Econometrics,2020,Crossref
doi_nao_coletado,10.1016/S1574-0676(06)01036-2,"SCHUSTER, J. Mark. Tax incentives in cultural policy. *In*: GINSBURGH, V. A.; THROSBY, D. ",,,,,
sem_doi,,"SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. Instrução Normativa nº 001, de",,,,,
sem_doi,,"SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. Instrução Normativa nº 001, de",,,,,
sem_doi,,"SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. Portaria nº 078, de 31 de julh",,,,,
sem_doi,,SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. **Instrução Normativa nº 001/2,,,,,
sem_doi,,"SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. Portaria nº 062-S, de 9 de mai",,,,,
sem_doi,,SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. **Instrução Normativa nº 001/2,,,,,
sem_doi,,SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. **Sobre a LICC**. Vitória: SEC,,,,,
sem_doi,,SECULT – SECRETARIA DE ESTADO DA CULTURA DO ESPÍRITO SANTO. **Lista de projetos habilitado,,,,,
sem_doi,,"SILVA, Frederico Augusto Barbosa da. **Financiamento cultural no Brasil contemporâneo**. B",,,,,
VERIFIED,10.1111/j.1467-8292.2007.00329.x,"SMITH, T. M. The impact of government funding on private contributions to nonprofit perfor",,THE IMPACT OF GOVERNMENT FUNDING ON PRIVATE CONTRIBUTIONS TO NONPROFIT PERFORMING ARTS ORGANIZATIONS,Annals of Public and Cooperative Economics,2007,Crossref
VERIFIED,10.20435/inter.v22i2.2965,"TEIXEIRA, Lusvânio Carlos; XAVIER, Wescley Silva; FARIA, Evandro Rodrigues de; BRAVIM, Már",,Relação entre os equipamentos e políticas culturais dos municípios de Minas Gerais e a captação de recursos via Lei Estadual de Incentivo à Cultura,Interações (Campo Grande),2021,Crossref
VERIFIED,10.24302/drd.v14.5320,"TEIXEIRA, Lusvânio Carlos; XAVIER, Wescley Silva; FARIA, Evandro Rodrigues de. Distribuiçã",,Distribuição geográfica de projetos culturais com captação de recursos via Lei Rouanet,DRd - Desenvolvimento Regional em debate,2024,Crossref
VERIFIED,10.1177/0275074016651958,"THOM, Michael. Lights, camera, but no action? Tax and economic development lessons from st",,"Lights, Camera, but No Action? Tax and Economic Development Lessons From State Motion Picture Incentive Programs",The American Review of Public Administration,2018,Crossref
sem_doi,,"THROSBY, David. The production and consumption of the arts: a view of cultural economics. ",,,,,
VERIFIED,10.22617/TCS179188-2,"WHITE, Howard; RAITZER, David A. **Impact evaluation of development interventions**: a pra",,Impact Evaluation of Development Interventions: A Practical Guide,,2017,Crossref
