# Fonte: dados/licc/habilitados/habilitados-{2022..2026}.csv (anexos oficiais SECULT); enquadramento = cota do art. 18 como publicada pela SECULT; valor_autorizado = teto de captacao habilitado, nao captado. Script: analise/03d_licc_escala_icms.py (2026-09-23)
ciclo,enq,n_projetos,n_com_valor,valor_autorizado,n_ciclo,valor_ciclo,share_valor_no_ciclo,teto_ano_seguinte
2022,(sem classificação publicada),69,69,23347711.16,69,23347711.16,1.0,15000000.0
2023,(sem classificação publicada),113,112,44293244.8,113,44293244.8,1.0,25000000.0
2024,cota-continuados,4,4,1500396.0,123,46717991.29,0.032116021228018,25000000.0
2024,cota-demais,86,86,32359879.42,123,46717991.29,0.6926641862473792,25000000.0
2024,cota-fora-rmgv,17,17,5607577.38,123,46717991.29,0.12003036143380384,25000000.0
2024,cota-pautados,16,16,7250138.49,123,46717991.29,0.15518943109079894,25000000.0
2025,cota-continuados,4,4,1765063.9,74,33485213.39,0.05271174113309122,25000000.0
2025,cota-demais,40,40,17735235.22,74,33485213.39,0.5296437867496594,25000000.0
2025,cota-fora-rmgv,13,13,5571036.39,74,33485213.39,0.16637302934625256,25000000.0
2025,cota-pautados,17,17,8413877.88,74,33485213.39,0.2512714427709968,25000000.0
2026,cota-continuados,6,6,2755490.0,88,37922381.07,0.07266131298332001,
2026,cota-demais,56,56,24517138.92,88,37922381.07,0.6465084266397833,
2026,cota-fora-rmgv,12,12,3893600.02,88,37922381.07,0.10267287839370894,
2026,cota-pautados,14,14,6756152.13,88,37922381.07,0.17815738198318778,
