# Fonte: IBGE, MUNIC 2021 (Pesquisa de Informacoes Basicas Municipais), bloco Cultura, API servicodados.ibge.gov.br/api/v1/pesquisas/1/periodos/2021, consulta 2026-09-23; populacao: IBGE Censo 2022, SIDRA tabela 4709. Valores como publicados (Sim/Nao/Nao informou/quantidade). Script: analise/03b_ibge_cultura_es.py
item,grupo,n_municipios,n_resposta_valida,n_sim,pop_2022,pop_em_municipio_com_sim,pct_mun_sim_sobre_validos,pct_pop_em_mun_com_sim
museus,RMGV,7,7,5,1880828.0,1738158.0,0.7142857142857143,0.9241451105576906
museus,Interior,71,70,27,1952884.0,1016700.0,0.38571428571428573,0.5206146396816196
museus,ES,78,77,32,3833712.0,2754858.0,0.4155844155844156,0.7185876247355044
teatros_salas_espetaculo,RMGV,7,7,5,1880828.0,1738158.0,0.7142857142857143,0.9241451105576906
teatros_salas_espetaculo,Interior,71,70,24,1952884.0,1034306.0,0.34285714285714286,0.5296300241079347
teatros_salas_espetaculo,ES,78,77,29,3833712.0,2772464.0,0.37662337662337664,0.7231800406498975
centro_cultural,RMGV,7,7,5,1880828.0,1682749.0,0.7142857142857143,0.8946852131082693
centro_cultural,Interior,71,70,31,1952884.0,1204857.0,0.44285714285714284,0.616962912287673
centro_cultural,ES,78,77,36,3833712.0,2887606.0,0.4675324675324675,0.7532141172837188
cinema,RMGV,7,7,5,1880828.0,1789391.0,0.7142857142857143,0.9513847092876117
cinema,Interior,71,70,6,1952884.0,660586.0,0.08571428571428572,0.3382617707964221
cinema,ES,78,77,11,3833712.0,2449977.0,0.14285714285714285,0.6390613066396224
livrarias,RMGV,7,7,6,1880828.0,1862814.0,0.8571428571428571,0.9904223033685164
livrarias,Interior,71,70,7,1952884.0,472376.0,0.1,0.24188635884159018
livrarias,ES,78,77,13,3833712.0,2335190.0,0.16883116883116883,0.6091198295542284
galerias_arte,RMGV,7,7,4,1880828.0,1270436.0,0.5714285714285714,0.6754663371663969
galerias_arte,Interior,71,70,7,1952884.0,378747.0,0.1,0.19394239493999643
galerias_arte,ES,78,77,11,3833712.0,1649183.0,0.14285714285714285,0.4301791579544838
ponto_de_cultura,RMGV,7,7,5,1880828.0,1484536.0,0.7142857142857143,0.7892991809990069
ponto_de_cultura,Interior,71,70,33,1952884.0,747946.0,0.4714285714285714,0.3829956105943825
ponto_de_cultura,ES,78,77,38,3833712.0,2232482.0,0.4935064935064935,0.5823290847095453
bibliotecas_publicas,RMGV,7,7,7,1880828.0,1880828.0,1.0,1.0
bibliotecas_publicas,Interior,71,70,64,1952884.0,1854144.0,0.9142857142857143,0.9494388811624244
bibliotecas_publicas,ES,78,77,71,3833712.0,3734972.0,0.922077922077922,0.9742442833473146
plano_municipal_cultura,RMGV,7,7,3,1880828.0,1144082.0,0.42857142857142855,0.6082863504796824
plano_municipal_cultura,Interior,71,70,11,1952884.0,428095.0,0.15714285714285714,0.21921168896872523
plano_municipal_cultura,ES,78,77,14,3833712.0,1572177.0,0.18181818181818182,0.4100926204159311
conselho_municipal_cultura,RMGV,7,7,7,1880828.0,1880828.0,1.0,1.0
conselho_municipal_cultura,Interior,71,70,50,1952884.0,1673151.0,0.7142857142857143,0.8567590292101323
conselho_municipal_cultura,ES,78,77,57,3833712.0,3553979.0,0.7402597402597403,0.9270333817459423
fundo_municipal_cultura,RMGV,7,7,5,1880828.0,1738158.0,0.7142857142857143,0.9241451105576906
fundo_municipal_cultura,Interior,71,70,35,1952884.0,1383105.0,0.5,0.7082371507985114
fundo_municipal_cultura,ES,78,77,40,3833712.0,3121263.0,0.5194805194805194,0.814162096683319
distribuiu_lei_aldir_blanc,RMGV,7,7,7,1880828.0,1880828.0,1.0,1.0
distribuiu_lei_aldir_blanc,Interior,71,70,35,1952884.0,1310121.0,0.5,0.6708647313409296
distribuiu_lei_aldir_blanc,ES,78,77,42,3833712.0,3190949.0,0.5454545454545454,0.8323392576176822
