# Fonte: IBGE, MUNIC 2021 (Pesquisa de Informacoes Basicas Municipais), bloco Cultura, API servicodados.ibge.gov.br/api/v1/pesquisas/1/periodos/2021, consulta 2026-09-23; populacao: IBGE Censo 2022, SIDRA tabela 4709. Valores como publicados (Sim/Nao/Nao informou/quantidade). Script: analise/03b_ibge_cultura_es.py
rmgv,orcamento_cultura_executado_2020,n_municipios
False,0,6
False,Mais de 90%,10
False,Não informou,1
False,Sem orçamento previsto,17
False,até 10%,14
False,de 11% a 20%,6
False,de 21% a 30%,5
False,de 31% a 40%,4
False,de 41% a 50%,4
False,de 51% a 60%,1
False,de 61% a 70%,1
False,de 81% a 90%,2
True,Mais de 90%,1
True,Sem orçamento previsto,1
True,até 10%,2
True,de 21% a 30%,1
True,de 51% a 60%,1
True,de 81% a 90%,1
