# Fonte: API SALIC/MinC https://api.salic.cultura.gov.br/api/v1/projetos, consulta 2026-09-23; mecanismo=Mecenato; valor_captado = acumulado do projeto ate a consulta, agregado por ano do PRONAC (ano_projeto); UF = campo UF do SALIC. Script: analise/03a_salic_rouanet_uf.py
ano,UF,n_projetos,n_com_captacao,n_valor_captado_informado,valor_aprovado,valor_captado,share_captado_brasil
2019,AL,5,1,5,1888664.6035,881548.79,0.0005502791774123408
2019,AM,25,6,25,10388399.9008,3497340.37,0.002183105012184943
2019,AP,1,0,1,199910.6992,0.0,0.0
2019,BA,51,19,51,35066899.8786,8167832.47,0.005098513189307885
2019,CE,61,42,61,28906538.4965,16178182.06,0.01009872263111369
2019,DF,45,18,45,35895949.3593,14499074.413800001,0.009050592357646117
2019,ES,49,28,49,51545294.3468,35192816.21,0.021968011498107204
2019,GO,54,17,54,24766480.5854,9011224.530000001,0.005624974225018569
2019,MA,13,5,13,32254841.459299996,28514877.47,0.017799517730839706
2019,MG,374,210,374,380064193.3808,211587942.47,0.13207713543882385
2019,MS,14,5,14,8367853.1096,3004222.56,0.001875291688711179
2019,MT,14,5,14,4086070.3315,989937.92,0.0006179376915790261
2019,PA,35,13,35,18167702.0238,12728928.0759,0.00794563403682637
2019,PB,14,5,14,4163114.1641,1001426.9199999999,0.0006251093394118027
2019,PE,65,34,65,57101454.5679,15554375.1,0.009709330705554024
2019,PI,13,4,13,3540973.7194,853614.47,0.0005328420544696922
2019,PR,261,145,261,164894284.4758,79036091.2754,0.049335800566312156
2019,RJ,474,213,474,566424939.0822,231316248.6381,0.14439191167477203
2019,RN,7,5,7,3952153.9679,1513966.6099999999,0.0009450461621988615
2019,RO,14,5,14,7266703.4202,1658560.0,0.0010353040499199277
2019,RR,3,0,3,626155.75,0.0,0.0
2019,RS,395,255,395,213298955.7596,95615240.2299,0.05968481420273145
2019,SC,218,127,218,99878986.9439,45595240.4101,0.028461398474368897
2019,SE,9,4,9,4610205.1861000005,2405386.0,0.0015014867520142144
2019,SP,961,510,961,1328227951.0256,783011943.2344,0.4887706419823503
2019,TO,9,3,9,2595962.7319,186792.5,0.00011659935832569706
2020,AC,1,0,1,199625.6034,0.0,0.0
2020,AL,4,3,4,3079432.5319,2130300.0,0.0009951049079405395
2020,AM,8,3,8,1527811.7675,403657.2,0.00018855619436020088
2020,AP,1,0,1,199969.0,0.0,0.0
2020,BA,98,31,98,89182857.4859,17305957.3398,0.008083952065645487
2020,CE,92,53,92,47681867.1344,24436095.7,0.011414579524937667
2020,DF,107,22,107,81398179.2968,29926603.06,0.013979303188750113
2020,ES,65,31,65,51911118.8242,25721580.77,0.01201505481116087
2020,GO,115,21,115,67054797.9233,21442631.709999997,0.010016273789504971
2020,MA,30,15,30,9352212.117899999,5529511.64,0.0025829433279248655
2020,MG,592,282,592,595707169.9976,380470555.13729995,0.1777252578247143
2020,MS,19,6,19,7404971.738700001,4441057.67,0.0020745051325465787
2020,MT,31,10,31,13007538.173799999,4626734.25,0.002161238304422659
2020,PA,42,13,42,23906495.4925,14254924.87,0.006658754964305805
2020,PB,47,21,47,31383471.8665,1752442.48,0.0008186002500734595
2020,PE,94,35,94,76632919.8021,32021650.3489,0.014957940863984547
2020,PI,28,6,28,8719370.0164,2348835.8,0.0010971872658904582
2020,PR,367,199,367,158424290.116,87126525.5429,0.0406985087450343
2020,RJ,774,254,774,931750396.8319,469518761.67,0.2193214214467359
2020,RN,24,10,24,11076220.9571,2329494.32,0.0010881524812709992
2020,RO,11,5,11,5551244.2763,2684658.21,0.0012540564995136194
2020,RR,2,1,2,449708.772,157300.0,7.347791485661497e-05
2020,RS,419,255,419,226491904.5814,124998173.098,0.05838909803005254
2020,SC,254,166,254,98286934.4032,49471393.8514,0.023109058266059978
2020,SE,12,1,12,4331484.2806,1340897.0,0.0006263592854258769
2020,SP,1436,657,1436,1587954645.2751,835657025.252,0.3903517848111799
2020,TO,10,3,10,2663278.5377,682544.89,0.00031883010370780437
2021,AC,1,0,1,199853.5,0.0,0.0
2021,AL,13,4,13,3318257.6075,1186810.63,0.0009534356162358762
2021,AM,12,5,12,2493834.7093,959549.54,0.0007708632564057432
2021,BA,58,19,58,27357741.3466,14255652.71,0.011452414296629186
2021,CE,50,31,50,27594021.3582,15200901.72,0.012211789086140215
2021,DF,77,15,77,32420263.5001,5049742.77,0.0040567589201215785
2021,ES,60,36,60,68572501.5941,48323800.239999995,0.038821384891609696
2021,GO,44,8,44,70403662.883,30777297.52,0.02472523491557883
2021,MA,29,12,29,54140106.3595,45036287.32,0.03618033009522351
2021,MG,359,184,359,346606279.8879,187329092.8905,0.1504926098605652
2021,MS,12,3,12,12065657.0379,8542114.12,0.0068623886861877694
2021,MT,21,7,21,9721853.6409,3212313.74,0.002580642819351789
2021,PA,21,12,21,29336003.057800002,22348690.62,0.01795403333499351
2021,PB,21,5,21,10097759.3868,1526410.8,0.0012262566452805508
2021,PE,55,24,55,33116318.8845,10219171.540000001,0.008209668727571163
2021,PI,10,2,10,3844951.9329,1005627.9099999999,0.0008078807535409809
2021,PR,243,146,243,114373561.6031,66374890.433800004,0.05332290001762023
2021,RJ,339,131,339,381877180.9739,197672930.6808,0.15880243040694722
2021,RN,8,3,8,2082993.4097,432755.15,0.0003476579689208708
2021,RO,4,2,4,3097372.8233,2123096.36,0.0017056096694421635
2021,RS,218,148,218,141419326.3678,102436259.1092,0.08229314379218022
2021,SC,146,93,146,63979774.6027,40612031.82,0.03262606232714036
2021,SE,7,2,7,1963363.7563999998,440000.0,0.0003534781881282826
2021,SP,831,423,831,735903462.1019,439470607.5284,0.3530528956472146
2021,TO,6,1,6,2134830.4296,236668.73,0.00019013007697050392
2022,AC,1,1,1,464607.0,464607.0,0.00029399337600938296
2022,AL,11,3,11,10971139.673,624591.37,0.0003952280647786746
2022,AM,8,4,8,4381913.8939,1995315.71,0.001262593120179978
2022,AP,2,0,2,453784.8582,0.0,0.0
2022,BA,48,16,48,59919676.9879,14593091.4169,0.009234196239118182
2022,CE,73,53,73,69217875.9098,33143535.5047,0.02097252063768648
2022,DF,55,24,55,68935992.5214,17585469.17,0.011127708902356663
2022,ES,58,31,58,58815335.3086,30090402.09,0.01904056309078187
2022,GO,57,17,57,161290063.6153,18524507.94,0.011721912558771651
2022,MA,29,14,29,43201551.3097,13504157.879999999,0.008545142379053506
2022,MG,358,193,358,472218193.1667,163685318.9728,0.10357657015065674
2022,MS,14,5,14,5944034.5842,1947532.52,0.0012323569391827097
2022,MT,19,10,19,14741026.876,7612454.6899999995,0.004816998568750709
2022,PA,30,20,30,73499861.1409,63468469.68,0.040161490617602325
2022,PB,21,8,21,13467687.9856,3728602.4699999997,0.0023593799231441284
2022,PE,52,23,52,63758275.5741,31034483.78,0.01963795779915205
2022,PI,11,6,11,5874692.9031,3092824.87,0.001957073451190105
2022,PR,215,147,215,151633376.7201,84188878.4719,0.05327292228571146
2022,RJ,322,172,322,502310203.4841,255716230.6018,0.1618117633505674
2022,RN,9,3,9,4349956.0264,506991.27,0.0003208132358629651
2022,RO,1,0,1,799900.6526,0.0,0.0
2022,RS,274,217,274,185019744.4991,98445992.6663,0.06229451932183651
