# Fonte: SICONFI/STN, API https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca (DCA-Anexo I-E, ente 32 Governo do ES), consulta 2026-09-23; valores declarados pelo ente; ente sem declaracao = ausente. Precos de 2025 pelo IPCA medio anual (SIDRA 1737). Script: analise/03c_siconfi_cultura_icms.py
ano,populacao,instituicao,f13_emp,f13_391_patrimonio_emp,f13_392_difusao_emp,f13_liq,f13_391_patrimonio_liq,f13_392_difusao_liq,f13_pag,f13_391_patrimonio_pag,f13_392_difusao_pag,desp_total_emp,f13_demais_emp,desp_total_liq,f13_demais_liq,desp_total_pag,f13_demais_pag,f13_emp_real2025,f13_liq_real2025,f13_pag_real2025,desp_total_emp_real2025,desp_total_liq_real2025,pct_f13_emp_na_despesa,f13_emp_per_capita
2015,3885049,Governo do Estado do Espírito Santo,33177965.47,1919790.27,12223185.08,29828031.52,1739790.27,9213250.08,29190840.51,1729790.27,9199989.82,,,,,,,56199623.10831791,50525223.766441725,49445896.14334235,,,,8.539909141429105
2016,3929911,Governo do Estado do Espírito Santo,22689780.82,846332.29,5825333.53,21842740.98,712097.29,5265244.45,21396448.82,702097.29,4992234.37,,,,,,,35345004.79749953,34025528.53433159,33330316.947167106,,,,5.773611875688788
2017,3973697,Governo do Estado do Espírito Santo,30027587.55,1552743.75,10272029.11,27699757.33,1264907.07,8963935.21,27085927.33,1264907.07,8623373.15,12027511004.75,2431463.06,11676823084.08,1947706.06,11439181193.3,1904501.52,45217121.97726348,41711752.69560435,40787415.16975127,18111659196.033535,17583574864.966843,0.002496575354463718,7.556587115222928
2018,3973697,Governo do Estado do Espírito Santo,38427974.13,3877890.75,16446047.59,34246958.19,3193719.15,13634941.06,33350913.01,3159217.94,13270052.04,13579421980.29,1562880.54,13058241347.23,1238745.98,12847551104.61,907892.88,55821106.31058753,49747693.8927625,48446083.948853925,19725691378.727314,18968615831.97479,0.0028298681774361753,9.670584881031443
2019,3972388,Governo do Estado do Espírito Santo,34488950.23,2496729.73,12763444.36,32537092.56,2358160.73,11807066.69,31396552.44,2278162.23,11492006.65,14020536709.86,1250678.0,13588941934.5,843807.32,13314596520.51,312740.55,48296325.17411665,45563056.92166878,43965910.70114591,19633546267.408043,19029165981.106808,0.002459888015966286,8.682170581020786
2020,4018650,Governo do Estado do Espírito Santo,62145904.77,3739920.39,42279501.6,29960360.94,3034360.31,11185491.44,29769163.9,3014360.31,11140706.45,15407430286.74,,14594541260.41,,14399148022.11,,84317439.34539226,40649193.63027739,40389784.02182639,20904274762.408604,19801374717.332718,0.004033502252707529,15.464373550819305
2021,4064052,Governo do Estado do Espírito Santo,41763551.75,5873890.08,19649229.92,38058842.99,5432069.74,17250145.66,37608676.98,5421894.38,16911172.52,18450706566.88,,17399977756.05,,16974658973.37,,52319936.367603034,47678805.08298471,47114852.64093557,23114408451.05989,21798091657.619713,0.0022635204564451636,10.276333016900374
2022,4108508,Governo do Estado do Espírito Santo,56804626.31,7090020.18,31339403.63,48945549.2,5985976.62,24939783.03,48732155.41,5982976.62,24866500.38,22355708059.71,,21097527601.44,,20319718694.97,,65119698.409603514,56110208.08414874,55865577.67022,25628140895.368874,24185787740.182713,0.00254094507578468,13.826096069424716
2023,4108508,Governo do Estado do Espírito Santo,103145866.77,13064326.03,72820874.58,90560944.64,9631711.29,64026651.54,90223845.86,9631711.29,63778607.5,24712351343.53,,23287211959.65,,22725030312.05,,113051296.2264571,99257803.53248394,98888332.07202944,27085557954.73001,25523557850.447906,0.004173858866611042,25.105431648179824
2024,3975100,Governo do Estado do Espírito Santo,119540758.61,16617074.54,85189203.4,107120372.14,13820463.47,75853036.21,106820192.1,13768463.47,75717051.4,27927029505.67,1000000.0,26065945261.82,1000000.0,25745131994.29,1000000.0,125537822.95998463,112494336.40447089,112179097.073921,29328059539.248955,27373609299.558796,0.004280468088656896,30.072390282005482
2025,3975100,Governo do Estado do Espírito Santo,181916534.67,14266080.72,150208402.54,157328746.64,13625505.51,126585594.07,156957478.65,13625505.51,126370366.21,30647039487.63,,28869520320.34,,28431596510.8,,181916534.67,157328746.64,156957478.65,30647039487.63,28869520320.34,0.005935859962702974,45.76401465875072
