# Fonte: SICONFI/STN, API https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca (DCA-Anexo I-E, governos estaduais e DF), consulta 2026-09-23; valores declarados pelo ente; ente sem declaracao = ausente. Script: analise/03c_siconfi_cultura_icms.py
ano,uf,desp_total_emp,populacao,instituicao,f13_emp,f13_392_difusao_emp,desp_total_liq,f13_liq,f13_392_difusao_liq,desp_total_pag,f13_pag,f13_392_difusao_pag,f13_391_patrimonio_emp,f13_391_patrimonio_liq,f13_391_patrimonio_pag,f13_demais_emp,f13_demais_liq,f13_demais_pag,pct_f13_emp_na_despesa,f13_emp_per_capita,f13_liq_per_capita,rank_per_capita_emp
2024,RO,14526983168.01,1616379,Governo do Estado de Rondônia,67863449.48,62494593.52,12905286014.72,44512421.35,39588896.04,12766637749.84,41462534.12,36556393.32,,,,,,,0.004671544579843853,41.98486213938687,27.538356629231142,10.0
2024,AC,11267054152.08,829780,Governo do Estado do Acre,62256806.52,60780660.34,10836359094.48,61635942.9,60281706.08,10619523512.34,60683856.03,59769619.21,90000.0,90000.0,90000.0,,,,0.005525562021773618,75.02808758948156,74.27986080647882,5.0
2024,AM,33524114754.33,3952262,Governo do Estado do Amazonas,551456562.13,380331181.42,32897257357.41,548982241.91,378048891.53,32696789783.73,548842921.5,378048891.53,838388.43,838388.43,838388.43,1820539.46,1820539.46,1820539.46,0.01644954881496978,139.52935360307592,138.9033019344365,2.0
2024,RR,8128836403.42,634805,Governo do Estado de Roraima,73391447.89,60709665.56,7803738678.1,68844437.76,57071223.61,7750637144.09,68837048.59,57071223.61,,,,718732.45,111229.54,111229.54,0.009028530560551376,115.61258636904246,108.44974088105798,4.0
2024,PA,44943282229.05,8442962,Governo do Estado do Pará,322996311.53,169274848.25,44658993520.48,322603615.56,169260023.75,44223009250.31,318351486.92,168451829.68,18303833.31,18303833.31,18303833.31,17234165.86,17233937.86,17076559.49,0.007186753959888242,38.256279197987624,38.20976756261606,12.0
2024,AP,9736292895.71,774268,Governo do Estado do Amapá,91979562.51,85238436.0,9299452041.83,87833871.95,81690707.56,9137293189.49,61336821.95,55193657.56,300000.0,,,,,,0.009447082528764927,118.79551074046714,113.44117534238791,3.0
2024,TO,16285356130.72,1584306,Governo do Estado do Tocantins,49005879.49,48990045.79,15609747328.55,48511494.07,48495660.37,15340068793.46,46247901.07,46232067.37,15833.7,15833.7,15833.7,,,,0.003009199129367359,30.932079718185754,30.620027993329572,16.0
2024,MA,28216422580.9,6800605,Governo do Estado do Maranhão,384557300.89,334700370.89,27623349409.13,363424108.48,321126947.37,27467068749.86,362351451.93,320528987.37,11175967.08,5097551.69,5022208.45,397038.4,397038.4,366661.41,0.013628846810307942,56.547513183018275,53.43996724997262,7.0
2024,PI,20903831504.23,3270174,Governo do Estado do Piauí,112902069.97,89480613.28,20209833380.24,112261410.91,88952784.29,19802590806.31,110697347.47,88236123.4,940500.0,940500.0,920700.0,,,,0.0054010227716939675,34.52478980323371,34.328880025955804,13.0
2024,CE,40222529935.91,8936431,Governo do Estado do Ceará,369571973.22,309338928.72,38688913486.61,359785557.23,300408654.71,38531413892.15,359437984.32,300230082.3,39180598.31,38929821.17,38821033.42,,,,0.009188183185117164,41.3556567739403,40.26054218177257,11.0
2024,RN,19141439984.09,3303953,Governo do Estado do Rio Grande do Norte,68702698.02,36402481.98,18735308695.78,46030494.89,14692578.85,17533446570.02,40698841.57,11664047.37,1156249.96,1156249.96,555671.4,3000.0,3000.0,3000.0,0.0035892126233504048,20.79409059995708,13.931946032525282,20.0
