id	consulta
baumol_bowen_1966	Baumol Bowen Performing arts the economic dilemma 1966 Twentieth Century Fund
feld_ohare_schuster_1983	Feld O'Hare Schuster Patrons despite themselves taxpayers and arts policy 1983
throsby_1994	Throsby The production and consumption of the arts a view of cultural economics 1994
schuster_2006	Schuster Tax incentives in cultural policy Handbook of the Economics of Art and Culture 2006
barros_lima_2017	Barros Lima Avaliacao de impacto de programas sociais por que para que e quando fazer
menezes_pinto_2017	Avaliacao economica de projetos sociais Menezes Filho Pinto Fundacao Itau Social 2017
silva_2017_td2280	Silva Financiamento cultural no Brasil contemporaneo Ipea Texto para Discussao 2280
gertler_2018	Avaliacao de impacto na pratica segunda edicao Gertler Martinez Premand Rawlings Vermeersch 2018
belem_donadone_2013	Belem Donadone A Lei Rouanet e a construcao do mercado de patrocinios culturais NORUS 2013
brooks_2004	Brooks In search of true public arts support Public Budgeting and Finance 2004
os_cataguases	Lei Municipal de Incentivo à Cultura quais os efeitos inclusivos e democráticos na produção cultural local Organizações & Sociedade
braz_2023_rouanet	Braz Ribeiro Gonçalves A Lei Rouanet é um bom negócio revisão bibliográfica incentivo fiscal Cultura Agenda Política
