doi,crossref_status,openalex_status,titulo,ano,periodico,volume,numero,paginas,autores,tem_resumo
10.1002/jae.2508,200,200,Wild Bootstrap Inference for Wildly Different Cluster Sizes,2016,Journal of Applied Econometrics,32,2,233-254,MacKinnon; Webb,True
10.1002/jae.2969,200,200,Fast and reliable jackknife and bootstrap methods for cluster‐robust inference,2023,Journal of Applied Econometrics,38,5,671-694,MacKinnon; Nielsen; Webb,True
10.1002/nml.21102,200,200,Crowding-Out and Fundraising Efforts,2014,Nonprofit Management and Leadership,24,4,445-464,Hughes; Luksetich; Rooney,True
10.1002/nvsm.1432,200,200,Understanding the decision‐making processes for arts sponsorship,2012,International Journal of Nonprofit and Voluntary Sector Marketing,17,4,363-374,Daellenbach,True
10.1007/s10824-016-9281-x,200,200,Evaluating three decades of the European Capital of Culture programme: a difference-in-differences approach,2016,Journal of Cultural Economics,42,1,57-73,Gomes; Librero-Cano,False
10.1016/S1573-4471(07)04061-2,200,200,Chapter 61 Using Randomization in Development Economics Research: A Toolkit,2007,Handbook of Development Economics,,,3895-3962,Duflo; Glennerster; Kremer,False
10.1016/j.cct.2006.05.007,200,200,Design and analysis of stepped wedge cluster randomized trials,2007,Contemporary Clinical Trials,28,2,182-191,Hussey; Hughes,False
10.1016/j.ecolecon.2025.108884,200,200,Do payments for environmental services impact forest cover? An evaluation of the reflorestar program,2026,Ecological Economics,242,,108884,P. Bucher; N. L. Seixas,False
10.1016/j.econlet.2015.10.035,200,200,Difference-in-differences techniques for spatial data: Local autocorrelation and spatial interaction,2015,Economics Letters,137,,123-126,Delgado; Florax,False
10.1016/j.jdeveco.2012.01.002,200,200,Beyond baseline and follow-up: The case for more T in experiments,2012,Journal of Development Economics,99,2,210-221,McKenzie,False
10.1016/j.jdeveco.2020.102458,200,200,Panel data and experimental design,2020,Journal of Development Economics,144,,102458,Burlig; Preonas; Woerman,False
10.1016/j.jeconom.2004.04.011,200,200,Does matching overcome LaLonde's critique of nonexperimental estimators?,2005,Journal of Econometrics,125,1-2,305-353,A. Smith; E. Todd,False
