id	url	nota
secult_sobre_licc	https://secult.es.gov.br/sobre-a-licc	"iniciativa inédita no Estado" (lida só em resumo de busca)
secult_lista_habilitados	https://secult.es.gov.br/lista-de-projetos-habilitados	página da lista; data de atualização e link do PDF
secult_captados_2025_pdf	https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf	anexo de captação 2025 (conferir totais)
secult_legislacao_licc	https://secult.es.gov.br/legislacao-licc	índice de normas; regimento da CAP; alterações do decreto
secult_in_2024	https://secult.es.gov.br/instrucao-normativa-licc-2024	IN 001/2024 (não transcrita)
secult_in_2025	https://secult.es.gov.br/instrucao-normativa-licc-2025-2	IN 2025 e portarias do ano
secult_in_2026	https://secult.es.gov.br/instrucao-normativa-licc-2026	IN 2026 e portarias de teto
secult_portaria_062s_2025	https://secult.es.gov.br/media/2025/PORTARIA_SECULT_N%C2%BA_062-S%2C_DE_09_DE_MAIO_DE_2025.pdf	data da edição do DIO
es_editais_cultura_2025	https://www.es.gov.br/Noticia/governo-do-estado-lanca-editais-da-cultura-2025-com-investimento-recorde-superior-a-r-34-milhoes	Funcultura: R$ 34,09 mi / R$ 46,85 mi
secom_lpg_es	https://www.gov.br/secom/pt-br/assuntos/noticias-regionalizadas/cultura/espirito-santo-tem-r-75-8-milhoes-da-lei-paulo-gustavo-para-projetos-culturais	LPG no ES: R$ 75,8 mi
ibge_lab_munic2021	https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/35787-recursos-da-lei-aldir-blanc-foram-distribuidos-por-61-1-dos-municipios-em-2021	LAB em 61,1% dos municípios
ipea_lab_capacidades	https://repositorio.ipea.gov.br/entities/publication/a419ef3f-73a5-46da-b4d9-b352ba3e6490	autoria e referência completa
ipea_td2280	http://repositorio.ipea.gov.br/handle/11058/7523	Silva (2017), TD 2280
tcu_acordao_1205_2014	https://portal.tcu.gov.br/imprensa/noticias/tcu-avalia-a-estrutura-de-governanca-das-renuncias-tributarias	governança das renúncias
tcu_acordao_191_2016	https://portal.tcu.gov.br/imprensa/noticias/captacao-de-recursos-pela-lei-rouanet-nao-deve-ser-aplicada-a-projetos-com-potencial-lucrativo-determina-tcu	adicionalidade
norus_belem_donadone	https://periodicos.ufpel.edu.br/index.php/NORUS/article/view/2761	Belem e Donadone (2013)
sciencedirect_schuster_2006	https://www.sciencedirect.com/science/chapter/handbook/abs/pii/S1574067606010362	DOI do capítulo de Schuster (2006)
sage_kim_vanryzin_2014	https://journals.sagepub.com/doi/abs/10.1177/0899764013487800	sinal do efeito (resumo)
ibge_siic_pagina	https://www.ibge.gov.br/estatisticas/multidominio/cultura-recreacao-e-esporte/9388-indicadores-culturais.html	edição do SIIC que traz a PNADC 2024 (referência IBGE do artigo)
ibge_siic_periodos	https://servicodados.ibge.gov.br/api/v1/pesquisas/10092/periodos	períodos e datas de publicação do SIIC na API
ibge_munic2021_periodos	https://servicodados.ibge.gov.br/api/v1/pesquisas/1/periodos	data de publicação da MUNIC 2021
secult_in_2023	https://secult.es.gov.br/instrucao-normativa-licc-2023	IN 2023: fluxo certificado/CAP/habilitação (premissa do desenho 2022-2024)
secult_cultura_em_dados_licc	https://secult.es.gov.br/cultura-em-dados-evento-apresenta-resultados-de-pesquisa-sobre-a-lei-de-incentivo-a-cultura-capixaba-licc-e-o-boletim-da-economia-criativa	IJSN/SECULT/FAPES: resultados preliminares da avaliação da LICC (jul./2026)
secult_ijsn_estudo_impactos	https://secult.es.gov.br/secult-e-ijsn-divulgam-estudo-sobre-impactos-das-politicas-culturais-capixabas-durante-o-evento-cultura-em-dados	estudo IJSN sobre impactos das políticas culturais
ijsn_simapp_estudos	https://ijsn.es.gov.br/projetos-especiais-simapp-estudos-e-pesquisas	projeto Análise Executiva da LICC
ijsn_funcultura_10anos	https://ijsn.es.gov.br/Media/IJSN/PublicacoesAnexos/relatorios/Pesquisa_Funcultura.pdf	avaliação do Funcultura (política estadual similar)
es_gov_aprimoramento_licc	https://www.es.gov.br/Noticia/secretaria-da-cultura-realiza-aprimoramento-da-lei-de-incentivo-a-cultura-capixaba-licc-em-dialogo-com-sociedade	audiências públicas de 2024
fjp_leic_mg_2015	https://repositorio.fjp.mg.gov.br/items/467e0560-157b-4f14-8b4b-540d01528933	monografia FJP: efeitos da lei estadual de MG no interior
scielo_inter_leic_mg	https://www.scielo.br/j/inter/a/Qxgmh663hc9XgjZrLg7FJ5P/	Interações 22(2), 2021: captação via LEIC-MG e equipamentos
ipea_td2280_pdf	https://repositorio.ipea.gov.br/bitstream/11058/7523/1/td_2280.pdf	TD 2280 (Silva, 2017) em PDF: contexto das afirmações C22/C25
secult_licc	https://secult.es.gov.br/licc	página que aponta para os anexos (licc.gov/tools/anexos-secult/baixar.mjs)
secult_amplia_25mi	https://secult.es.gov.br/governo-amplia-para-r-25-milhoes-os-recursos-destinados-a-lei-de-incentivo-a-cultura-capixaba-licc	ampliação do teto (citada no licc.gov)
secult_grupo_legislacao	https://secult.es.gov.br/GrupodeArquivos/legislacao-licc	grupo de arquivos de normas (licc.gov)
secult_licc_2026_inscricoes	https://secult.es.gov.br/Noticia/licc-2026-inscricoes-para-projetos-culturais-estao-abertas	notícia da IN 2026 (licc.gov)
secult_in_2023_pdf	https://secult.es.gov.br/media/002/Instru%C3%A7%C3%A3o%20Normativa%20001_23%20diario_oficial_2023-02-01.pdf	IN 001/2023 no DIO: fluxo certificado/CAP/habilitação (I-04)
secult_in_2024_pdf	https://secult.es.gov.br/media/LICC_2024/Instrucao%20Normativa%2001_2024%20_diario_oficial_2024-02-01.pdf	IN 001/2024 no DIO: fluxo certificado/CAP/habilitação (I-04)
secult_lista_habilitados_15_pdf	https://secult.es.gov.br/media/001/lista-de-projetos-habilitados-15.pdf	lista de habilitados vigente (atualizada em 10/09/2026): comparar com a transcrição de 03/09
