id_captado,projeto,cnpj,patrocinador_nome,valor,cnpj_raiz
C25-01,26º Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,250000.0,28152650
C25-02,#EP10 - ENCONTRO DAS PRETAS 10 ANOS,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499999.84,28152650
C25-03,BOA VISTA CARNAVAL CAPIXABA 2025,03.845.717/0001-22,Realmar Distribuidora Ltda,492000.0,03845717
C25-04,207ª FESTA DO DIVINO ESPÍRITO SANTO DE VIANA-ES,05.069.718/0003-10,Perfil Alumínio do Brasil S/A,119369.98,05069718
C25-04,207ª FESTA DO DIVINO ESPÍRITO SANTO DE VIANA-ES,02.689.900/0001-13,Distribuidora Pomar,50000.0,02689900
C25-04,207ª FESTA DO DIVINO ESPÍRITO SANTO DE VIANA-ES,03.380.787/0002-33,L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS,80000.0,03380787
C25-05,14ª Festa Folclórica de Santo Antônio do Muqui,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,331937.73,28152650
C25-06,“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,05.069.718/0003-10,Perfil Alumínio do Brasil S/A,200000.0,05069718
C25-06,“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,31.819.139/0001-95,A.S. Materiais de Construção Ltda,50000.0,31819139
C25-06,“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,03.845.717/0035-71,Realmar Distribuidora Ltda,100000.0,03845717
C25-06,“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,03.845.717/0040-39,Realmar Distribuidora Ltda,149972.41,03845717
C25-07,Carnaval Folclórico do Boi Pintadinho de Muqui/ES - 2025,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-08,24º Festival Nacional de Teatro de Guaçuí,09.492.311/0001-90,Mundo Distribuidora de Cosméticos LTDA,44308.24,09492311
C25-08,24º Festival Nacional de Teatro de Guaçuí,07.548.056/0001-24,Distribuidora Mascote LTDA,56524.73,07548056
C25-09,Baile Voador: ressaca do carnaval 2023,07.526.557/0011-81,AMBEV S.A. CDD VITÓRIA,500000.0,07526557
C25-10,Raiar da Liberdade,27.340.074/0008-08,Antônio Auto Peças S/A,239751.08,27340074
C25-11,97ª Festa de São Pedro - Edição 2025,03.845.717/0001-22,REALMAR DISTRIBUIDORA LTDA,250000.0,03845717
C25-11,97ª Festa de São Pedro - Edição 2025,00.827.783/0001-81,Kuruma Veiculos S.A.,250000.0,00827783
C25-12,Festival Nacional de Teatro Cidade de Vitória - 20º Edição,06.248.349/0004-76,Transportadora Associada de Gás - TAG,500000.0,06248349
C25-13,47ª Festa da Polenta,06.955.576/0001-99,ITAPOA SUPERMERCADO LTDA,500000.0,06955576
C25-14,l FESTIVAL INTERNACIONAL DE JAZZ E BOSSA DE SANTA TERESA – 12ª EDIÇÃO,00.827.783/0020-44,Kurumá Veiculos S.A,250000.0,00827783
