projeto,proponente,valor_autorizado,valor_captado,patrocinador,fonte_url,fonte_pagina,linha_arquivo,titulo_norm,id_captado,chave_proponente,casamento,numero_processo,processos_candidatos,ciclos_habilitacao,ciclo_habilitacao_min,numero_processo_secundario,ciclo_habilitacao_min_secundario
26º Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,500000.0,250000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,2,26o festival de inverno da sanfona e da viola de sao pedro do itabapoana,C25-01,associacao dos moradores da comunidade de sao pedro do itabapoana,casado,2023-32MFD,,2023,2023.0,,
#EP10 - ENCONTRO DAS PRETAS 10 ANOS,INSTITUTO DAS PRETAS.ORG,499999.84,499999.84,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,3,ep10 encontro das pretas 10 anos,C25-02,instituto das pretas,casado,2024-HGG9K,,2024,2024.0,,
BOA VISTA CARNAVAL CAPIXABA 2025,GRÊMIO RECREATIVO CULTURAL ESPORTIVO SOCIAL ESCOLA DE SAMBA IDEPENDENTE DE BOA VISTA,492000.0,492000.0,Realmar Distribuidora Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,4,boa vista carnaval capixaba 2025,C25-03,gremio recreativo cultural esportivo social escola de samba idependente de boa vista,casado,2023-4Z9J3,,2024,2024.0,,
207ª FESTA DO DIVINO ESPÍRITO SANTO DE VIANA-ES,LEONARDO CAETANO EIRELI ME,358109.86,249369.98,Perfil Alumínio do Brasil S/A; Distribuidora Pomar; L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,5,207a festa do divino espirito santo de viana es,C25-04,leonardo caetano,casado,2024-LNTS6,,2024,2024.0,,
14ª Festa Folclórica de Santo Antônio do Muqui,Associação Oficina da Vida - ONG,331937.73,331937.73,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,6,14a festa folclorica de santo antonio do muqui,C25-05,associacao oficina da vida ong,casado,2023-NB5P3,,2023,2023.0,,
“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,Associação Cultural e Folclórica do Bloco Surpresa,499972.41,499972.41,Perfil Alumínio do Brasil S/A; A.S. Materiais de Construção Ltda; Realmar Distribuidora Ltda; Realmar Distribuidora Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,7,carna surpresa 2024 o carnaval da barra do jucu,C25-06,associacao cultural e folclorica do bloco surpresa,sem_correspondencia,,,,,,
Carnaval Folclórico do Boi Pintadinho de Muqui/ES - 2025,ASSOCIACAO COMERCIAL E EMPRESARIAL DE MUQUI - ACE MUQUI,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,8,carnaval folclorico do boi pintadinho de muqui es 2025,C25-07,associacao comercial e empresarial de muqui ace muqui,casado,2024-HZSBS,,2025,2025.0,,
24º Festival Nacional de Teatro de Guaçuí,"Grupo Teatral Gota, Pó e Poeira",229781.52,100832.97,Mundo Distribuidora de Cosméticos LTDA; Distribuidora Mascote LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,9,24o festival nacional de teatro de guacui,C25-08,grupo teatral gota po e poeira,casado,2023-4MJCT,,2024,2024.0,,
Baile Voador: ressaca do carnaval 2023,SAGUI PRODUÇÕES E EVENTOS LTDA,500000.0,500000.0,AMBEV S.A. CDD VITÓRIA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,10,baile voador ressaca do carnaval 2023,C25-09,sagui producoes e eventos,casado,2022-CC9TK,,2023,2023.0,,
Raiar da Liberdade,Associação de Salvaguarda do Patrimônio Imaterial Cachoeirense,239751.08,239751.08,Antônio Auto Peças S/A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,11,raiar da liberdade,C25-10,associacao de salvaguarda do patrimonio imaterial cachoeirense,ambiguo,,2022-DRBWG;2023-KNQFG;2024-8TB7C,,,,
