ordem_doc,ciclo,numero_processo,ano_protocolo,projeto,titulo_norm,proponente,chave_proponente,valor_autorizado,valor_total,valor_autorizado_bruto,valor_total_bruto,flag_valor_suspeito,status,enquadramento,municipio_fonte,municipio_reparado,municipios_es,cod_ibge_lista,n_municipios_es,locais_fora_es,locais_nao_resolvidos,municipio_ausente_na_fonte,tipo_local,municipio_valor,cod_ibge_valor,flag_municipio_incerto,nota_municipio,fonte_url,fonte_pagina,linha_arquivo
0,2026,2026-TQMK8,2026,Capoeira e Cultura Popular,capoeira e cultura popular,"Produtora Cultural, Artística e Esportiva",produtora cultural artistica e esportiva,499941.78,499941.78,499941.78,499941.78,False,captando,cota-demais,Cariacica; Viana; Serra; Vila Velha; Vitória,Cariacica; Viana; Serra; Vila Velha; Vitória,Vila Velha; Cariacica; Vitória; Serra; Viana,3205200;3201308;3205309;3205002;3205101,5,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,2
1,2026,2026-5PBHL,2026,Procura-se Lara,procura se lara,Wb Producoes Artisticas E Culturais Ltda,wb producoes artisticas e culturais,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Vitória; Colatina,Vitória; Colatina,Colatina; Vitória,3201506;3205309,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,3
2,2026,2026-NZ9D3,2026,Paula Cassaro - 20 Anos - Ao Vivo,paula cassaro 20 anos ao vivo,Paula Aparecida Cassaro,paula aparecida cassaro,385097.77,385097.77,385097.77,385097.77,False,captando,cota-fora-rmgv,Colatina,Colatina,Colatina,3201506,1,,,False,um_municipio,Colatina,3201506.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,4
3,2026,2026-SCKNF,2026,Jazz Vix Festival 4ª Edição,jazz vix festival 4a edicao,Rota Service Ltda,rota service,500000.0,776958.43,500000.0,776958.43,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,5
4,2026,2026-W7TBM,2026,Flinc - Festa Literária Internacional Capixaba (ano 3),flinc festa literaria internacional capixaba ano 3,Letra Preta Produções LTDA,letra preta producoes,500000.0,3316631.18,500000.0,3316631.18,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,6
5,2026,2025-WGKTT,2025,Nosso Ouro é a PolentaAspectos históricos e culturais dos imigrantes italianos em Venda Nova do Imigrante,nosso ouro e a polentaaspectos historicos e culturais dos imigrantes italianos em venda nova do imigrante,Folha Da Terra Das Montanhas Ltda,folha da terra das montanhas,300000.0,300000.0,300000.0,300000.0,False,captando,cota-fora-rmgv,Venda Nova do Imigrante,Venda Nova do Imigrante,Venda Nova do Imigrante,3205069,1,,,False,um_municipio,Venda Nova do Imigrante,3205069.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,7
6,2026,2026-NNC7R,2026,"Mãos Criativas - Artesanato, Sustentabilidade e Cultura",maos criativas artesanato sustentabilidade e cultura,"Associação Amigos da Justiça Cidadania, Educação e Arte",associacao amigos da justica cidadania educacao e arte,500000.0,500000.0,500000.0,500000.0,False,captando,cota-fora-rmgv,Ibiraçu; Serra,Ibiraçu; Serra,Ibiraçu; Serra,3202504;3205002,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,8
7,2026,2026-TWJD2,2026,Monumento Cooperativismo De São Gabriel da Palha,monumento cooperativismo de sao gabriel da palha,Zota Estúdio e Representações LTDA,zota estudio e representacoes,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,São Gabriel da Palha; Vila Velha,São Gabriel da Palha; Vila Velha,São Gabriel da Palha; Vila Velha,3204708;3205200,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,9
8,2026,2025-BN12V,2025,Circulação Do Espetáculo “Os Fuzis De Teresa Carrar”,circulacao do espetaculo os fuzis de teresa carrar,Z Produção Ltda,z producao,497899.15,497899.15,497899.15,497899.15,False,captando,cota-demais,Barra de São Francisco; Mucurici; Itaguaçu; Afonso Claudio; Serra; Cachoeiro de Itapemirim; João Neiva; Domingos Martins,Barra de São Francisco; Mucurici; Itaguaçu; Afonso Claudio; Serra; Cachoeiro de Itapemirim; João Neiva; Domingos Martins,Cachoeiro de Itapemirim; Barra de São Francisco; Domingos Martins; Afonso Cláudio; João Neiva; Itaguaçu; Mucurici; Serra,3201209;3200904;3201902;3200102;3203130;3202702;3203601;3205002,8,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,10
9,2026,2025-70M5F,2025,Festival Nacional De Teatro Cidade De Vitória 22ª Edição - FENATEVI,festival nacional de teatro cidade de vitoria 22a edicao fenatevi,Associação Cultural Circense E Ambiental Uma Floresta,associacao cultural circense e ambiental uma floresta,500000.0,500000.0,500000.0,500000.0,False,captando,cota-pautados,Vitória; Cariacica; Serra,Vitória; Cariacica; Serra,Cariacica; Vitória; Serra,3201308;3205309;3205002,3,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,11
10,2026,2026-B4JW8,2026,Circuito Cultural Verde,circuito cultural verde,Rian Melo Soares,rian melo soares,165000.0,165000.0,165000.0,165000.0,False,captando,cota-demais,Serra,Serra,Serra,3205002,1,,,False,um_municipio,Serra,3205002.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,12
11,2026,2026-VZMTQ,2026,Cinepuff - Caravana Estadual (Ano1),cinepuff caravana estadual ano1,Instituto Internacional De Tecnologia E Informação Científica,instituto internacional de tecnologia e informacao cientifica,300000.0,300000.0,300000.0,300000.0,False,captando,cota-demais,Vitória; Vila Velha; Cariacica; Serra; Viana; Guarapari; Aracruz; Colatina; Sooretama; São Mateus; Linhares; Cachoeiro de Itapemirim; Anchieta,Vitória; Vila Velha; Cariacica; Serra; Viana; Guarapari; Aracruz; Colatina; Sooretama; São Mateus; Linhares; Cachoeiro de Itapemirim; Anchieta,Cachoeiro de Itapemirim; São Mateus; Vila Velha; Cariacica; Guarapari; Sooretama; Anchieta; Colatina; Linhares; Aracruz; Vitória; Serra; Viana,3201209;3204906;3205200;3201308;3202405;3205010;3200409;3201506;3203205;3200607;3205309;3205002;3205101,13,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,13
12,2026,2026-F1ZDQ,2026,48ª Festa da Polenta de 2026,48a festa da polenta de 2026,Associação Festa da Polenta - AFEPOL.,associacao festa da polenta afepol,499952.0,1299952.0,499952.0,1299952.0,False,captando,cota-pautados,Venda Nova do Imigrante,Venda Nova do Imigrante,Venda Nova do Imigrante,3205069,1,,,False,um_municipio,Venda Nova do Imigrante,3205069.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,1,14
13,2026,2025-7NPG5,2025,"Paisagem Continuada: Fotografias, Desenhos e Depoimentos",paisagem continuada fotografias desenhos e depoimentos,LUPINO PRODUÇÕES LTDA,lupino producoes,230182.31,230182.31,230182.31,230182.31,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,15
14,2026,2025-WBCHT,2025,Circuito Cultural - Região 5,circuito cultural regiao 5,Instituto Gg5 De Desenvolvimento Comunitário,instituto gg5 de desenvolvimento comunitario,300000.0,300000.0,300000.0,300000.0,False,captando,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,16
15,2026,2025-DZ8W2,2025,Territórios Criativos e Ancestrais: Juventudes Guardiãs da Cultura,territorios criativos e ancestrais juventudes guardias da cultura,Instituto Nacional Afro Origem,instituto nacional afro origem,300000.0,300000.0,300000.0,300000.0,False,captando,cota-fora-rmgv,Aracruz,Aracruz,Aracruz,3200607,1,,,False,um_municipio,Aracruz,3200607.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,17
16,2026,2025-LHW3M,2025,Café Conilon: O Ouro Negro Do Espírito Santo,cafe conilon o ouro negro do espirito santo,Prodcom Produção Comercial LTDA,prodcom producao comercial,299580.0,299580.0,299580.0,299580.0,False,captando,cota-demais,São Gabriel da Palha; Vitória; Santa Teresa,São Gabriel da Palha; Vitória; Santa Teresa,São Gabriel da Palha; Santa Teresa; Vitória,3204708;3204609;3205309,3,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,18
17,2026,2025-33P6C,2025,"Mulheres, Grãos E Memórias",mulheres graos e memorias,Connect Agência de comunicação integrada,connect agencia de comunicacao integrada,787253.67,787253.67,787253.67,787253.67,False,captando,cota-demais,Muqui; Afonso Claúdio; Alto Rio Novo; Cachoeiro; Santa Teresa; Aracruz; Jaguaré,Muqui; Afonso Claúdio; Alto Rio Novo; Cachoeiro; Santa Teresa; Aracruz; Jaguaré,Afonso Cláudio; Alto Rio Novo; Santa Teresa; Cachoeiro de Itapemirim; Aracruz; Jaguaré; Muqui,3200102;3200359;3204609;3201209;3200607;3203056;3203809,7,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,19
18,2026,2025-C1XPG,2025,Memórias do Lar,memorias do lar,Porto e Stein Produções Ltda ME,porto e stein producoes,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,20
19,2026,2025-GXTFK,2025,Projeto Negraô - 35 Anos,projeto negrao 35 anos,Fabio Samora,fabio samora,300000.0,300000.0,300000.0,300000.0,False,captando,cota-continuados,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,21
20,2026,2026-BXDB7,2026,Festival Jam (Jazz Arte e Movimento) 2ª Edição,festival jam jazz arte e movimento 2a edicao,Lupino Produções Ltda,lupino producoes,499945.2,499945.2,499945.2,499945.2,False,captando,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,22
21,2026,2025-58RFR,2025,"A Capoeira Capixaba: Apoio, Preservação e Promoção do Patrimônio Cultural Imaterial",a capoeira capixaba apoio preservacao e promocao do patrimonio cultural imaterial,Associação Cultural Artística Popular Orientada Ao Esporte E De Incentivo Às Raízes Afro-Brasileiras.,associacao cultural artistica popular orientada ao esporte e de incentivo as raizes afro brasileiras,300000.0,300000.0,300000.0,300000.0,False,captando,cota-demais,Montanha; Nova Venécia; Manguinhos; Cariacica; Viana; Guarapari,Montanha; Nova Venécia; Manguinhos; Cariacica; Viana; Guarapari,Nova Venécia; Cariacica; Guarapari; Montanha; Viana,3203908;3201308;3202405;3203502;3205101,5,,manguinhos (bairro/localidade não municipal),False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,23
22,2026,2025-RK2BJ,2025,Literomusical Ambiental Alman’arte: Artes Em Biocomposição Edição 2025,literomusical ambiental alman arte artes em biocomposicao edicao 2025,Grupo Moxuara Produções Artísticas Ltda.,grupo moxuara producoes artisticas,198751.0,198751.0,198751.0,198751.0,False,captando,cota-demais,Mimoso do Sul; Fundão; Vila Velha,Mimoso do Sul; Fundão; Vila Velha,Mimoso do Sul; Vila Velha; Fundão,3203403;3205200;3202207,3,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,24
23,2026,2025-X1KG0,2025,Filarmônica De Mulheres Do Espírito Santo: Música E Representatividade - II,filarmonica de mulheres do espirito santo musica e representatividade ii,Instituto Todos os Cantos,instituto todos os cantos,492800.0,492800.0,492800.0,492800.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,25
24,2026,2025-L9896,2025,Temporada Marien Calixte Jazz Music Festival,temporada marien calixte jazz music festival,MM Projetos Culturais Ltda,mm projetos culturais,500000.0,1035300.0,500000.0,1035300.0,False,captando,cota-demais,a definir,a definir,,,0,,a definir (local a definir),False,so_locais_nao_municipais,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,26
25,2026,2025-HMWCM,2025,"Mãos Criativas - Artesanato, Sustentabilidade e Cultu",maos criativas artesanato sustentabilidade e cultu,"Associação Amigos da Justiça, Cidadania, Educação e Arte.",associacao amigos da justica cidadania educacao e arte,499981.26,499981.26,499981.26,499981.26,False,captando,cota-demais,Ibiraçu; Serra,Ibiraçu; Serra,Ibiraçu; Serra,3202504;3205002,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,27
26,2026,2025-CFX7G,2025,Festejos Tradicionais Capixabas - Registros do Folclore e da Fé,festejos tradicionais capixabas registros do folclore e da fe,23.331.720 Anderson Marta Valfre,anderson marta valfre,161282.5,161282.5,161282.5,161282.5,False,captando,cota-fora-rmgv,Linhares; São Paulo,Linhares; São Paulo,Linhares,3203205,1,São Paulo,,False,um_municipio_mais_outros_locais,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,28
27,2026,2025-QR8HV,2025,Entre A Senzala E O Quilombo: Malungo desde o navio negreiro,entre a senzala e o quilombo malungo desde o navio negreiro,Centro Desportivo de Capoeira e Cultura Afro-brasileira Nação Malungos.,centro desportivo de capoeira e cultura afro brasileira nacao malungos,231909.2,231909.2,231909.2,231909.2,False,captando,cota-demais,Colatina; Vila Velha,Colatina; Vila Velha,Vila Velha; Colatina,3205200;3201506,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,29
28,2026,2025-RZ6SH,2025,Bendito Samba 2025 - O Show Tem Que Continuar,bendito samba 2025 o show tem que continuar,Daiane Matheus Pessoa 14397082740,daiane matheus pessoa,117154.89,126254.89,117154.89,126254.89,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,2,30
29,2026,2026-3LXT7,2026,"14ª Itália Unita - Aracruz: Sua História Une Gerações: ""Sabores E Tradições Da Itália Dei Nostri Nonni""",14a italia unita aracruz sua historia une geracoes sabores e tradicoes da italia dei nostri nonni,Secretariado Dos Imigrantes Friulanos De Aracruz Es,secretariado dos imigrantes friulanos de aracruz es,500000.0,664000.0,500000.0,664000.0,False,captando,cota-pautados,Aracruz,Aracruz,Aracruz,3200607,1,,,False,um_municipio,Aracruz,3200607.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,31
30,2026,2025-7K1FV,2025,Espírito Santo por Cima – Do noroeste capixaba até os Doce Pontões,espirito santo por cima do noroeste capixaba ate os doce pontoes,Renato Sabaini 07848837777,renato sabaini,161786.67,161786.67,161786.67,161786.67,False,captando,cota-fora-rmgv,Colatina,Colatina,Colatina,3201506,1,,,False,um_municipio,Colatina,3201506.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,32
