numero_processo,ciclo,flag_municipio_incerto,municipio,cod_ibge
2026-TQMK8,2026,False,Vila Velha,3205200
2026-TQMK8,2026,False,Cariacica,3201308
2026-TQMK8,2026,False,Vitória,3205309
2026-TQMK8,2026,False,Serra,3205002
2026-TQMK8,2026,False,Viana,3205101
2026-5PBHL,2026,False,Colatina,3201506
2026-5PBHL,2026,False,Vitória,3205309
2026-NZ9D3,2026,False,Colatina,3201506
2026-SCKNF,2026,False,Vitória,3205309
2026-W7TBM,2026,False,Vitória,3205309
2025-WGKTT,2026,False,Venda Nova do Imigrante,3205069
2026-NNC7R,2026,False,Ibiraçu,3202504
2026-NNC7R,2026,False,Serra,3205002
2026-TWJD2,2026,False,São Gabriel da Palha,3204708
2026-TWJD2,2026,False,Vila Velha,3205200
2025-BN12V,2026,False,Cachoeiro de Itapemirim,3201209
2025-BN12V,2026,False,Barra de São Francisco,3200904
2025-BN12V,2026,False,Domingos Martins,3201902
2025-BN12V,2026,False,Afonso Cláudio,3200102
2025-BN12V,2026,False,João Neiva,3203130
2025-BN12V,2026,False,Itaguaçu,3202702
2025-BN12V,2026,False,Mucurici,3203601
2025-BN12V,2026,False,Serra,3205002
2025-70M5F,2026,False,Cariacica,3201308
2025-70M5F,2026,False,Vitória,3205309
2025-70M5F,2026,False,Serra,3205002
2026-B4JW8,2026,False,Serra,3205002
2026-VZMTQ,2026,False,Cachoeiro de Itapemirim,3201209
2026-VZMTQ,2026,False,São Mateus,3204906
2026-VZMTQ,2026,False,Vila Velha,3205200
2026-VZMTQ,2026,False,Cariacica,3201308
2026-VZMTQ,2026,False,Guarapari,3202405
2026-VZMTQ,2026,False,Sooretama,3205010
2026-VZMTQ,2026,False,Anchieta,3200409
2026-VZMTQ,2026,False,Colatina,3201506
2026-VZMTQ,2026,False,Linhares,3203205
2026-VZMTQ,2026,False,Aracruz,3200607
2026-VZMTQ,2026,False,Vitória,3205309
2026-VZMTQ,2026,False,Serra,3205002
2026-VZMTQ,2026,False,Viana,3205101
2026-F1ZDQ,2026,False,Venda Nova do Imigrante,3205069
2025-7NPG5,2026,False,Vitória,3205309
2025-WBCHT,2026,False,Vila Velha,3205200
2025-DZ8W2,2026,False,Aracruz,3200607
2025-LHW3M,2026,False,São Gabriel da Palha,3204708
2025-LHW3M,2026,False,Santa Teresa,3204609
2025-LHW3M,2026,False,Vitória,3205309
2025-33P6C,2026,False,Afonso Cláudio,3200102
2025-33P6C,2026,False,Alto Rio Novo,3200359
2025-33P6C,2026,False,Santa Teresa,3204609
2025-33P6C,2026,False,Cachoeiro de Itapemirim,3201209
2025-33P6C,2026,False,Aracruz,3200607
2025-33P6C,2026,False,Jaguaré,3203056
2025-33P6C,2026,False,Muqui,3203809
2025-C1XPG,2026,False,Vitória,3205309
2025-GXTFK,2026,False,Vitória,3205309
2026-BXDB7,2026,False,Vila Velha,3205200
2025-58RFR,2026,False,Nova Venécia,3203908
2025-58RFR,2026,False,Cariacica,3201308
2025-58RFR,2026,False,Guarapari,3202405
2025-58RFR,2026,False,Montanha,3203502
2025-58RFR,2026,False,Viana,3205101
2025-RK2BJ,2026,False,Mimoso do Sul,3203403
2025-RK2BJ,2026,False,Vila Velha,3205200
2025-RK2BJ,2026,False,Fundão,3202207
2025-X1KG0,2026,False,Vitória,3205309
2025-HMWCM,2026,False,Ibiraçu,3202504
2025-HMWCM,2026,False,Serra,3205002
2025-CFX7G,2026,False,Linhares,3203205
2025-QR8HV,2026,False,Vila Velha,3205200
2025-QR8HV,2026,False,Colatina,3201506
2025-RZ6SH,2026,False,Vitória,3205309
2026-3LXT7,2026,False,Aracruz,3200607
2025-7K1FV,2026,False,Colatina,3201506
2025-9R9X2,2026,False,Linhares,3203205
2025-9R9X2,2026,False,Vitória,3205309
2025-HFKGT,2026,False,São Mateus,3204906
2025-HFKGT,2026,False,Cachoeiro de Itapemirim,3201209
2025-HFKGT,2026,False,Vitória,3205309
2025-J7NGB,2026,False,Linhares,3203205
2025-9T9WD,2026,False,Vitória,3205309
2025-T178P,2026,False,Vila Velha,3205200
2025-CNFWC,2026,False,Vila Velha,3205200
2025-CNFWC,2026,False,São Mateus,3204906
2025-CNFWC,2026,False,Guarapari,3202405
2025-CNFWC,2026,False,Cachoeiro de Itapemirim,3201209
2025-CNFWC,2026,False,Colatina,3201506
2025-CNFWC,2026,False,Linhares,3203205
2025-CNFWC,2026,False,Aracruz,3200607
2025-PHW93,2026,False,Vitória,3205309
2025-34FH0,2026,False,Vitória,3205309
2025-L2ZQD,2026,False,Vitória,3205309
2025-FFQ31,2026,False,Mimoso do Sul,3203403
2025-00C1Z,2026,False,São Mateus,3204906
2025-DCRC9,2026,False,Serra,3205002
2025-8JPM7,2026,False,Cachoeiro de Itapemirim,3201209
2025-8JPM7,2026,False,Cariacica,3201308
2025-8JPM7,2026,False,Linhares,3203205
2025-8JPM7,2026,False,Castelo,3201407
2025-8JPM7,2026,False,Ibatiba,3202454
2025-8JPM7,2026,False,Vitória,3205309
2025-J6GZF,2026,False,Vila Velha,3205200
2025-XBV4P,2026,False,Serra,3205002
2025-2M4DV,2026,False,Vitória,3205309
2025-FH60M,2026,False,Colatina,3201506
2025-4T6CX,2026,False,Vitória,3205309
2025-VRWDM,2026,False,Vila Velha,3205200
2025-51382,2026,False,Muqui,3203809
2025-KHZVZ,2026,False,Vitória,3205309
2025-R38F3,2026,False,Cariacica,3201308
2025-XJ6C2,2026,False,Cariacica,3201308
2025-JM8G8,2026,False,Vila Velha,3205200
2025-V0HCH,2026,False,Vila Velha,3205200
2025-V0HCH,2026,False,Vitória,3205309
2025-NC3C3,2026,False,Vila Velha,3205200
2025-NC3C3,2026,False,Vitória,3205309
2025-GRD95,2026,False,Vitória,3205309
2025-K1235,2026,False,Vitória,3205309
2025-1BPCP,2026,False,Vitória,3205309
2025-LJ7X2,2026,False,Afonso Cláudio,3200102
2025-CSZT8,2026,False,Vitória,3205309
2025-RM1D1,2026,False,Santa Teresa,3204609
2025-FPC7P,2026,False,Guaçuí,3202306
2025-3JR65,2026,False,Cariacica,3201308
2025-L58Z5,2026,False,Santa Teresa,3204609
2025-5N8X1,2026,False,Santa Teresa,3204609
2025-4CV2N,2026,False,Vitória,3205309
2025-G3RNR,2026,False,Domingos Martins,3201902
2025-XKQD2,2026,False,Serra,3205002
2025-NK2K5,2026,False,Baixo Guandu,3200805
2025-NK2K5,2026,False,Muniz Freire,3203700
2025-HJ1PF,2026,False,São Gabriel da Palha,3204708
2025-HJ1PF,2026,False,Nova Venécia,3203908
2025-HJ1PF,2026,False,Águia Branca,3200136
2025-HJ1PF,2026,False,Pinheiros,3204104
2025-T5H46,2026,False,Mimoso do Sul,3203403
2025-M644N,2026,False,Serra,3205002
2025-90TBK,2026,False,Vila Velha,3205200
2025-90TBK,2026,False,Cariacica,3201308
2025-90TBK,2026,False,Vitória,3205309
2025-90TBK,2026,False,Serra,3205002
2025-77BHP,2026,False,Vitória,3205309
2025-B2PQC,2026,False,Vitória,3205309
2024-7NZLF,2026,False,Vila Velha,3205200
2024-7NZLF,2026,False,Guarapari,3202405
2024-7NZLF,2026,False,Anchieta,3200409
2024-7NZLF,2026,False,Vitória,3205309
2024-7NZLF,2026,False,Serra,3205002
2024-7NZLF,2026,False,Viana,3205101
2025-5TD7H,2026,False,Muqui,3203809
2025-49GXP,2026,True,Santa Maria de Jetibá,3204559
2024-454L8,2026,True,Cachoeiro de Itapemirim,3201209
2024-454L8,2026,True,Afonso Cláudio,3200102
2024-454L8,2026,True,Nova Venécia,3203908
2024-454L8,2026,True,São Mateus,3204906
2024-454L8,2026,True,Cariacica,3201308
2024-454L8,2026,True,Anchieta,3200409
2024-454L8,2026,True,Colatina,3201506
2024-454L8,2026,True,Linhares,3203205
2024-454L8,2026,True,Alegre,3200201
2025-SB2J8,2026,True,Vila Velha,3205200
2025-SB2J8,2026,True,Aracruz,3200607
2025-SB2J8,2026,True,Vitória,3205309
2025-QRD7Z,2026,False,Domingos Martins,3201902
2025-QRD7Z,2026,False,Águia Branca,3200136
2025-QRD7Z,2026,False,Vargem Alta,3205036
2025-QRD7Z,2026,False,Castelo,3201407
2025-KCGPL,2026,False,Vitória,3205309
2025-Z13BW,2026,False,Conceição da Barra,3201605
2025-Z13BW,2026,False,Pedro Canário,3204054
2025-Z13BW,2026,False,São Mateus,3204906
2025-Z13BW,2026,False,Vitória,3205309
2025-V9F70,2025,False,Vitória,3205309
2025-75FLW,2025,False,Vitória,3205309
2025-7QZ1X,2025,False,Cachoeiro de Itapemirim,3201209
2025-7QZ1X,2025,False,Mimoso do Sul,3203403
2025-0G2ZD,2025,False,Atílio Vivácqua,3200706
2025-1MT75,2025,False,Vila Velha,3205200
2025-1MT75,2025,False,Cariacica,3201308
2025-1MT75,2025,False,Vitória,3205309
2025-1MT75,2025,False,Serra,3205002
2025-WV98F,2025,False,Santa Teresa,3204609
2025-0RV3W,2025,False,Conceição da Barra,3201605
2025-R0CZP,2025,False,Vargem Alta,3205036
2025-FZTLW,2025,False,Vila Velha,3205200
2025-G5V62,2025,False,Vila Velha,3205200
2025-TGL66,2025,False,Vitória,3205309
2025-9TD2B,2025,False,Colatina,3201506
2025-BLC51,2025,False,Santa Maria de Jetibá,3204559
2025-BLC51,2025,False,Santa Leopoldina,3204500
2025-BLC51,2025,False,Santa Teresa,3204609
