ano_captacao,proponente,projeto,empresa,cnpj_empresa,valor_termo,chave_busca,obs
2023,Puri Produções e Eventos LTDA,CineMarias Mulheres Protagonistas - 2023,Leroy Merlin Companhia de Bricolagem,01.438.784/0062-19,397417.44,cinemarias,
2023,CONEXXO Serviços e Gestão de Eventos,"Festival Roda de Boteco, Colatina-ES",Colina Alimentos LTDA,05.391.760/001-90,77000.00,boteco,CNPJ como impresso
2023,CONEXXO Serviços e Gestão de Eventos,"Festival Roda de Boteco, Colatina-ES",Viafor Veículos LTDA,31.791.890/0001-20,30000.00,boteco,
2023,CONEXXO Serviços e Gestão de Eventos,"Festival Roda de Boteco, Colatina-ES",Lavagnoli Atacados e Varejo S.A,39.621.479/0002-08,20000.00,boteco,
2023,Instituto Viva Vida,Ready to Rock,Papelaria Rainha LTDA,00.412.876/0001-45,160000.00,ready to rock,
2023,Viana Projetos Culturais LTDA,Cinema é coisa séria,ArcelorMittal S/A (Tubarão),17.469.701/0104-82,499961.86,coisa seria,
2023,Fundação Centro Brasileiro de Proteção e Pesquisa das Tartarugas Marinhas,Modernização museológica do Museu Aberto das Tartarugas Marinhas da Fundação Projeto Tamar em Vitória/ES,ArcelorMittal S/A (Tubarão),17.469.701/0104-82,700000.00,tartarugas,
2023,Finordia Produções Culturais Ltda.,Latasha,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71,250000.00,latasha,
2023,Mito Games Ltda,"Jogo Digital: ""12 Anos no ES""",Kurumá Veículos Ltda,00.827.783/0005-05,200000.00,12 anos,
2023,Mito Games Ltda,"Jogo Digital: ""12 Anos no ES""",Kurumá Veículos Ltda,00.827.783/0021-25,100000.00,12 anos,
2023,Mito Games Ltda,"Jogo Digital: ""12 Anos no ES""",V.M Comércio de Automóveis Ltda,11.277.336/0006-27,84842.05,12 anos,
2023,Mito Games Ltda,"Jogo Digital: ""12 Anos no ES""",EV Comércio de Veículos Ltda,45.901.867/0003-18,100000.00,12 anos,
2023,Danyel Ferreira Sueth,Residência literária nas montanhas do Caparaó,D. F. Favoreto Supermercado EIRELI,00.483.394/0001-86,161622.55,caparao,proponente pessoa física; documento pessoal omitido
2023,Medusa Estúdio e Produções LTDA,Festival Novos Cantores - 2ª edição,Millenium Comercial & Logística do Gmill Distribuição LTDA,02.632.609/0001-09,476619.00,novos cantores,
2023,Global Village Creative E Executive Produtora Ltda,BRAVOS - A Vila do Fim do Mundo,Indústria de Alimentos Santa Maria LTDA,07.260.084/0001-41,419181.43,bravos,
2023,Daniel Gonçalves Morelo ME,Coral ArcelorMittal - 2023,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,500000.00,coral arcelormittal,
2024,Escritório de Arte Celso Adolfo LTDA,"MOINHO VITÓRIA: Remoção, Restauro e Reinstalação",DRIFT Comércio de Alimentos S/A,28.129.260/0004-23,69231.75,moinho,
2024,TONOBOOKS Produções LTDA,Oficinas de Formação Música Clássica,EDP Espírito Santo Distribuição de Energia S.A,17.469.701/0104-82,499620.00,musica classica,CNPJ como impresso (é o da ArcelorMittal)
2024,Tonobooks Produções LTDA,"""Orquestra Jovem Capixaba - Concertos na Grande Vitória""",EDP Espírito Santo Distribuição de Energia S.A,17.469.701/0104-82,200000.00,orquestra jovem,CNPJ como impresso (é o da ArcelorMittal)
2024,SATIRICA FILMES PRODUÇÕES LTDA,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,REALCAFÉ Solúvel do Brasil S.A,28.154.847/0003-01,265079.32,fecsta,
2024,SATIRICA FILMES PRODUÇÕES LTDA,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,Tuboval Comercial LTDA,31.731.169/0001-45,234820.00,fecsta,
2024,Instituto Todos os Cantos,Filarmônica de Mulheres do Espírito Santo: música e representatividade,VD Comércio de Veículos LTDA,39.786.983/0001-79,420484.16,filarmonica de mulheres,
2024,Cidade Quintal Serviços de Design e Arte Urbana LTDA,Quintal do CSE: Intervenções Socioespaciais Identitárias,VD Comércio de Veículos LTDA,39.786.983/0001-79,485087.70,quintal do cse,
2024,Instituto Brasil de Cultura e Arte - IBCA,9º TendaLab,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,500000.00,tendalab,
2024,Porto e Stein Produções LTDA-ME,"Encantando pessoas, celebrando a natureza",Leroy Merlin Companhia Brasileira de Bricolagem,01.438.784/0062-19,316412.12,encantando,
2024,Mosteiro Zen Morro da Vargem - MZMV,Programa de Residência do Mosteiro Zen Morro da Vargem 2023,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71,499955.20,mosteiro zen,
2024,Puri Produções e Eventos LTDA,Festival Delírio Tropical,Realmar Distribuidora Ltda,03.845.717/0001-22,200000.00,delirio tropical,
2024,Programa de Promoção e Assistência Social,Escola de Música Tocando em Frente,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71,499560.00,tocando em frente,
2024,Companhia de Ópera do Espírito Santo,11º Festival de Música Erudita do Espírito Santo,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,440553.00,musica erudita,
2024,Cine Teatro Ribalta Ltda.,Vozes Plurais,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,464399.64,vozes plurais,
2024,Instituto das Pretas.org,#EP10 - Encontro das Pretas 10 anos,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,500000.00,encontro das pretas,
2024,WB Produções Artísticas e Culturais LTDA,Diversão em Cena,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,500000.00,diversao em cena,
2024,ATROM Produções e Consultoria,Estúdio Escola de Animação,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,400000.00,escola de animacao,
2024,Instituto Baleia Jubarte,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,774892.00,baleia,
2024,Caju Produções LTDA ME,Festival Manhágua,VD Comércio de Veículos LTDA,39.786.983/0001-79,500000.00,manhagua,
2024,Associação Sociedade Cultura e Arte - SOCA,"Escola de fotógrafos cegos, novos olhares: territórios",Decolores Mármores e Granitos do Brasil LTDA,04.023.387/0001-52,30000.00,fotografos cegos,
2024,Associação Cultural Circense e Ambiental Uma Floresta,Festival Nacional de Teatro Cidade de Vitória - 20ª Edição,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,500000.00,teatro cidade,
2024,WB Produções Artísticas e Culturais LTDA,Diversão e Arte,ArcelorMittal Brasil S/A (Tubarão),17.469.701/0104-82,499756.60,diversao e arte,
